,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.06089,0.0,0.0,0.0,0.08208,0.11587,0.20626,0.0,0.0,0.06522,0.0,0.0,0.0,0.0,0.0,0.07218,0.0,0.0,0.06149,0.0,0.06712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13464,0.0,0.0,0.0,0.30214,0.0,0.0,0.08965,0.18611,0.21631,0.0,0.0,0.0,0.38224,0.0,0.18975,0.0,0.0,0.15937,0.0,0.0,0.0,0.20364,0.0,0.23755,0.0,0.0,0.49383,0.21944,0.0,0.24296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12182,0.21059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08171,0.08856,0.0,0.0,0.20836,0.09683,0.05814,0.0,0.0,0.0,0.0,0.0,0.12019,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06744,0.0,0.0,0.18958,0.0,0.0,0.0,0.0,0.07149,0.20444,0.0,0.0,0.0,0.0,0.11927,0.11492,0.10565,0.0,0.22664,0.0,0.19003,0.65671,0.58312,0.38464,0.0,0.25861,0.0,0.20654,0.0,0.28238,0.40616,0.0,0.27545,0.0,0.22132,0.0,0.2189,0.08568,0.0,0.0,0.0,0.16704,0.11918,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.16196,0.0,0.0,0.0,0.13244,0.0,0.0,0.0,0.0,0.27706,0.0,0.13581,0.13772,0.0,0.07711,0.0,0.08983,0.0,0.0,0.0,0.13726,0.20142,0.0,0.14331,0.0,0.0,0.0,0.0,0.0,0.0,0.16996,0.0,0.10706,0.0,0.26298,0.14781,0.18436,0.15762,0.14943,0.15684,0.0,0.0,0.11824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12902,0.09223,0.13633,0.11471,0.11762,0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.06633,0.07028,0.16512,0.14901,0.13867,0.11809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,0.06089,0.0,0.0,0.0,0.0768,0.11587,0.20626,0.0,0.08042,0.06522,0.0,0.0849,0.0,0.0,0.0,0.07218,0.0,0.0,0.06149,0.0653,0.06712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13464,0.0,0.0,0.0,0.28503,0.0,0.0,0.08509,0.1953,0.21631,0.11521,0.0,0.0,0.38224,0.18032,0.18975,0.11619,0.0,0.15201,0.0,0.0,0.0,0.20364,0.0,0.18544,0.0,0.0,0.49383,0.22733,0.0,0.24296,0.0,0.0,0.0,0.0,0.0,0.11571,0.0,0.0,0.12182,0.21059,0.0,0.0,0.28908,0.0,0.0,0.0,0.0,0.0,0.0,0.08171,0.08856,0.0,0.0,0.13117,0.09683,0.05814,0.0,0.0,0.0,0.0,0.0,0.12019,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09691,0.06863,0.0,0.05342,0.0,0.0,0.0,0.0,0.0,0.0,0.06744,0.0954,0.0,0.18958,0.0,0.0,0.0,0.0,0.07149,0.20444,0.1101,0.0,0.07241,0.0,0.11927,0.11492,0.08093,0.0,0.22637,0.0,0.18772,0.65671,0.58312,0.36516,0.0,0.22758,0.0,0.21729,0.0,0.28238,0.39844,0.19094,0.27545,0.0,0.22132,0.15673,0.2189,0.08568,0.0,0.0,0.12405,0.16095,0.0914,0.12167,0.0,0.16667,0.0,0.0,0.0,0.0,0.09448,0.16196,0.0,0.0,0.0,0.13244,0.0,0.09063,0.0,0.0,0.27706,0.0,0.13581,0.13772,0.0,0.07981,0.0,0.08523,0.0,0.0,0.0,0.13726,0.20142,0.0,0.14331,0.0,0.13852,0.0,0.12917,0.0,0.0,0.16996,0.09583,0.10706,0.0,0.26298,0.14169,0.18436,0.15762,0.14224,0.15684,0.0,0.0,0.11824,0.0,0.07855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12902,0.09223,0.13633,0.11471,0.11762,0.1042,0.0,0.0,0.08554,0.0,0.0,0.0,0.06339,0.07028,0.16512,0.14901,0.13851,0.11809,0.13758,0.0,0.0,0.0,0.0,0.0,0.0
-4.5,0.05768,0.0,0.0,0.0,0.07073,0.11587,0.13652,0.0,0.06923,0.06522,0.0,0.0849,0.0,0.0,0.0,0.07218,0.0,0.0,0.06149,0.0653,0.06712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13464,0.0,0.0,0.0,0.28503,0.0,0.0,0.08509,0.18169,0.21631,0.11521,0.09702,0.0,0.38224,0.18032,0.13911,0.11619,0.0,0.15201,0.0,0.0,0.0,0.20364,0.0,0.18544,0.0,0.07301,0.49383,0.22733,0.0,0.17551,0.0,0.0,0.0,0.0,0.0,0.11571,0.0,0.0,0.12182,0.21059,0.0,0.0,0.28908,0.11268,0.08013,0.09326,0.0,0.0,0.0,0.08171,0.08856,0.0,0.0,0.08935,0.09683,0.05814,0.0,0.0,0.0,0.0,0.0,0.091,0.0653,0.05464,0.06579,0.0,0.0,0.0,0.0,0.0,0.09691,0.06601,0.06044,0.05342,0.0,0.05315,0.0,0.0,0.0,0.0,0.06744,0.0954,0.0,0.18958,0.0,0.11898,0.0,0.0,0.06954,0.20444,0.1101,0.08929,0.07241,0.0,0.12556,0.08808,0.08553,0.0,0.19726,0.0,0.18178,0.65671,0.58312,0.36516,0.0,0.22758,0.24047,0.21729,0.0,0.22951,0.39844,0.2411,0.27545,0.0,0.20612,0.15673,0.2189,0.09398,0.0,0.0,0.12405,0.16724,0.0921,0.12167,0.13692,0.16667,0.0,0.0,0.0,0.0,0.09448,0.16136,0.0,0.0,0.08703,0.10717,0.08039,0.07434,0.0,0.0,0.27706,0.0,0.13581,0.13772,0.07422,0.09889,0.0,0.08334,0.0,0.0,0.0,0.13726,0.19845,0.0,0.14331,0.12667,0.13852,0.0,0.12917,0.09061,0.0,0.15355,0.09583,0.10035,0.07327,0.25675,0.13651,0.18436,0.14755,0.14224,0.11017,0.0,0.0,0.11824,0.0,0.07727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12902,0.07896,0.10878,0.11471,0.11762,0.1042,0.0,0.07238,0.08554,0.09645,0.08605,0.0,0.06339,0.07709,0.16512,0.12896,0.13851,0.11809,0.11669,0.0,0.0,0.0,0.0,0.08388,0.0
-4.25,0.05768,0.0,0.0,0.0,0.07073,0.11587,0.13652,0.0,0.06923,0.06522,0.0,0.0849,0.0,0.0,0.0,0.07218,0.0,0.0,0.05152,0.0653,0.06584,0.0,0.0,0.0,0.0,0.0511,0.0,0.0,0.13464,0.0,0.0,0.06858,0.26046,0.0,0.0,0.08092,0.17092,0.21631,0.10557,0.11264,0.0,0.38224,0.14873,0.13911,0.11479,0.0,0.1556,0.11576,0.08403,0.10517,0.20364,0.0,0.18544,0.0,0.07301,0.30992,0.22733,0.0,0.17551,0.0,0.07695,0.0,0.0,0.0,0.08957,0.0,0.0,0.12182,0.21059,0.0,0.0,0.28908,0.11268,0.08013,0.07701,0.0,0.0,0.0,0.08171,0.08856,0.0,0.0,0.08236,0.09683,0.05666,0.0,0.06118,0.0,0.0,0.0731,0.09213,0.06741,0.05464,0.06579,0.0,0.0,0.0,0.0,0.07417,0.09691,0.06505,0.06044,0.05164,0.0,0.05151,0.0,0.0,0.0,0.0,0.06744,0.0954,0.0,0.18958,0.07776,0.11898,0.0,0.18701,0.06954,0.16775,0.1101,0.08929,0.07241,0.0,0.11735,0.07958,0.08553,0.16823,0.20623,0.14717,0.18178,0.53305,0.58312,0.35586,0.0,0.20646,0.21235,0.20951,0.0,0.22951,0.34074,0.20292,0.22522,0.0,0.20612,0.15673,0.19355,0.09398,0.0,0.13587,0.11972,0.15471,0.08919,0.10787,0.13937,0.16667,0.0,0.0,0.0,0.0,0.10133,0.16106,0.07935,0.0,0.07831,0.11276,0.08479,0.07411,0.0,0.0,0.27706,0.0,0.13533,0.13772,0.07422,0.09188,0.0,0.08334,0.0,0.0,0.0,0.14693,0.19221,0.0,0.14331,0.12159,0.11481,0.0,0.12917,0.09061,0.0,0.13825,0.09583,0.09843,0.08024,0.25675,0.13066,0.15019,0.14755,0.14224,0.11017,0.08484,0.0,0.09831,0.0,0.07454,0.0,0.0,0.0,0.0,0.06541,0.0,0.0,0.0,0.12902,0.07193,0.10878,0.1143,0.11762,0.1042,0.0,0.07238,0.08554,0.09645,0.08605,0.0,0.06148,0.07317,0.16512,0.12896,0.12566,0.10587,0.10958,0.09253,0.08013,0.0,0.07772,0.0843,0.0
-4.0,0.05314,0.0,0.0,0.0,0.06736,0.09178,0.10893,0.0,0.06923,0.06522,0.0,0.07509,0.06658,0.0,0.05747,0.06849,0.0525,0.0,0.05152,0.05632,0.06584,0.0,0.04979,0.0,0.0,0.05717,0.0,0.0,0.13464,0.05018,0.0,0.06858,0.26046,0.0,0.07386,0.07998,0.17092,0.1758,0.10799,0.11041,0.0,0.38224,0.14873,0.10978,0.10827,0.08789,0.1556,0.0843,0.09194,0.10517,0.20364,0.0,0.18544,0.0,0.08046,0.30992,0.22733,0.0,0.17551,0.0,0.07218,0.0,0.08145,0.0,0.07805,0.0,0.0,0.12182,0.21059,0.06302,0.08848,0.28908,0.10592,0.08013,0.07701,0.0,0.0,0.0,0.08171,0.08856,0.0,0.0,0.07876,0.08319,0.05666,0.05914,0.06118,0.0,0.0,0.06908,0.09213,0.06055,0.05432,0.06579,0.0,0.05104,0.0,0.07238,0.07417,0.07713,0.06072,0.05869,0.05164,0.0,0.05359,0.0,0.0,0.12234,0.0672,0.06744,0.0954,0.0,0.18958,0.07845,0.11898,0.0,0.13666,0.06954,0.15948,0.08614,0.08929,0.06738,0.0,0.11735,0.0823,0.08567,0.14067,0.1876,0.13619,0.17383,0.53305,0.58312,0.31282,0.0,0.20646,0.21363,0.18903,0.0,0.21447,0.32836,0.18302,0.22522,0.17028,0.1716,0.17048,0.17597,0.09249,0.0,0.1257,0.11972,0.13873,0.09317,0.10576,0.13102,0.16667,0.10478,0.17375,0.0,0.0,0.10004,0.15105,0.08587,0.0,0.0717,0.10657,0.08607,0.07547,0.11111,0.0,0.17685,0.0,0.11457,0.11907,0.07405,0.0908,0.0,0.07769,0.0,0.0,0.0,0.14693,0.1842,0.09557,0.14331,0.12159,0.11113,0.10368,0.12917,0.08665,0.08945,0.13694,0.0995,0.09999,0.0805,0.25675,0.12267,0.15019,0.13971,0.13909,0.11432,0.08484,0.0,0.08655,0.0,0.06801,0.0,0.0,0.0,0.0,0.07167,0.07139,0.0,0.0484,0.12902,0.07255,0.09968,0.1143,0.11762,0.08085,0.0,0.07238,0.06333,0.08415,0.08605,0.0,0.06081,0.06673,0.14852,0.12351,0.12929,0.10587,0.10958,0.08841,0.08013,0.09357,0.07182,0.07302,0.0
-3.75,0.05047,0.0,0.0,0.0,0.06741,0.09178,0.10893,0.0,0.06089,0.06522,0.0,0.07509,0.06105,0.0,0.05555,0.06849,0.0525,0.0,0.05152,0.05059,0.04914,0.0,0.05872,0.07205,0.0,0.05717,0.0,0.06099,0.13464,0.05018,0.0,0.06858,0.26046,0.0,0.07198,0.07674,0.15712,0.14086,0.09803,0.10594,0.0,0.38224,0.12289,0.10329,0.10827,0.09176,0.1416,0.0789,0.09194,0.10517,0.20364,0.0,0.18544,0.0,0.07798,0.1829,0.22733,0.0,0.14056,0.0,0.07218,0.05979,0.08145,0.0,0.07805,0.0,0.0,0.09375,0.21059,0.06595,0.08848,0.28908,0.10509,0.06948,0.07315,0.06096,0.0,0.04202,0.08171,0.08856,0.0,0.0,0.07876,0.08335,0.05397,0.05914,0.05781,0.0,0.0,0.06908,0.09213,0.06055,0.05306,0.06488,0.0,0.04979,0.0,0.07238,0.05791,0.07368,0.06079,0.05869,0.04703,0.05568,0.0529,0.04671,0.0,0.12234,0.0672,0.05438,0.0954,0.05892,0.18958,0.07845,0.11898,0.07476,0.13597,0.06954,0.15948,0.07853,0.08929,0.06241,0.0,0.11735,0.07855,0.08322,0.12913,0.17698,0.14133,0.1648,0.3301,0.58312,0.30115,0.2956,0.18315,0.198,0.18759,0.12642,0.17816,0.32421,0.15254,0.18463,0.17028,0.1716,0.15906,0.17597,0.08895,0.16554,0.12298,0.11106,0.12036,0.09254,0.10283,0.12942,0.16667,0.09217,0.16817,0.0,0.12658,0.10004,0.15105,0.07362,0.08729,0.06761,0.09256,0.08421,0.07469,0.10047,0.0,0.15348,0.10676,0.11391,0.12198,0.07317,0.08514,0.07924,0.07224,0.07494,0.0,0.0,0.11582,0.18907,0.09557,0.14331,0.11757,0.09682,0.09512,0.12917,0.08665,0.08945,0.13683,0.08864,0.10012,0.07876,0.23789,0.11887,0.15019,0.13449,0.12583,0.11432,0.08484,0.0,0.08087,0.0,0.06474,0.0,0.0,0.0,0.08319,0.07167,0.06559,0.0,0.0556,0.12902,0.06962,0.08131,0.1143,0.11762,0.07443,0.0,0.07851,0.06492,0.08463,0.07994,0.0,0.05642,0.06188,0.14852,0.10851,0.1194,0.10285,0.10958,0.07485,0.0747,0.08125,0.0712,0.06813,0.0
-3.5,0.04849,0.0,0.06854,0.05506,0.06227,0.08314,0.09354,0.0,0.05664,0.05909,0.0,0.07509,0.06291,0.0,0.05555,0.06849,0.0525,0.06978,0.05152,0.04322,0.04914,0.06227,0.0551,0.07205,0.0,0.05717,0.04571,0.06099,0.13464,0.05018,0.0,0.06923,0.25467,0.0808,0.07198,0.07394,0.14255,0.1332,0.10166,0.0983,0.1208,0.25593,0.11765,0.09922,0.10121,0.09656,0.1416,0.07641,0.07662,0.10517,0.16105,0.0,0.17858,0.07707,0.07302,0.14101,0.18169,0.0,0.12137,0.0,0.06484,0.05979,0.07292,0.0,0.07805,0.07345,0.0,0.09375,0.21059,0.06218,0.08848,0.22535,0.09344,0.07111,0.06956,0.05979,0.0,0.04202,0.08171,0.08856,0.0,0.0,0.07876,0.08,0.05088,0.05115,0.05617,0.06122,0.05896,0.06908,0.07657,0.06055,0.05259,0.06488,0.0,0.0457,0.05478,0.05385,0.05834,0.06883,0.06051,0.0539,0.04232,0.05539,0.05346,0.04671,0.04161,0.12234,0.0652,0.04911,0.0954,0.0568,0.11853,0.08004,0.11065,0.0763,0.13597,0.06276,0.14741,0.06978,0.08929,0.06147,0.05999,0.1095,0.07614,0.07674,0.12945,0.16706,0.12663,0.13695,0.3301,0.58312,0.29822,0.22147,0.19002,0.18856,0.17617,0.12482,0.17989,0.3288,0.14363,0.16483,0.14848,0.16871,0.149,0.16289,0.08642,0.16554,0.11776,0.11319,0.11254,0.08865,0.09722,0.11653,0.12702,0.09217,0.15166,0.18961,0.12658,0.0949,0.11822,0.07394,0.08275,0.06729,0.08257,0.08056,0.07112,0.09456,0.09451,0.12492,0.11422,0.1146,0.13994,0.07416,0.0808,0.07268,0.07257,0.07149,0.08075,0.0,0.10393,0.17447,0.09171,0.14331,0.10646,0.09076,0.09512,0.10427,0.08575,0.07316,0.13683,0.08454,0.09803,0.07868,0.21896,0.11537,0.15019,0.13449,0.12121,0.10743,0.06262,0.10069,0.0748,0.0,0.06236,0.06499,0.10662,0.05112,0.08319,0.06818,0.06559,0.0,0.05399,0.10508,0.08006,0.07585,0.10243,0.11762,0.06882,0.08734,0.06834,0.06419,0.07826,0.07785,0.0,0.05347,0.06362,0.10955,0.10913,0.11863,0.09562,0.10958,0.06899,0.0728,0.06561,0.06624,0.06526,0.0741
-3.25,0.04283,0.05255,0.11681,0.05506,0.06181,0.08314,0.07971,0.0,0.05118,0.05909,0.07875,0.06875,0.06291,0.0,0.05324,0.05608,0.05041,0.06978,0.05152,0.04134,0.04914,0.06163,0.05514,0.06221,0.05146,0.05717,0.04202,0.05375,0.14555,0.05018,0.0,0.06144,0.21695,0.08828,0.06987,0.07082,0.13528,0.11931,0.10089,0.0907,0.12527,0.18252,0.10237,0.09593,0.10167,0.09586,0.12421,0.07492,0.0714,0.10517,0.16105,0.0,0.15348,0.08189,0.07083,0.13108,0.16077,0.11201,0.10689,0.14683,0.05985,0.05681,0.07071,0.04924,0.07499,0.06905,0.0,0.06557,0.21059,0.05602,0.08848,0.20108,0.09408,0.05831,0.0668,0.056,0.04952,0.05001,0.08171,0.06729,0.0422,0.0,0.07398,0.0627,0.04844,0.05389,0.05506,0.06122,0.05868,0.06076,0.07051,0.05508,0.05259,0.05307,0.05722,0.04347,0.05907,0.05385,0.06017,0.0705,0.0564,0.05105,0.04079,0.05539,0.05063,0.04671,0.04199,0.10695,0.0536,0.04906,0.0954,0.05415,0.12064,0.0753,0.11065,0.06277,0.09956,0.05423,0.13008,0.06591,0.07858,0.05826,0.0546,0.09287,0.07472,0.07087,0.12129,0.16408,0.1166,0.11959,0.24528,0.50615,0.29647,0.20417,0.18104,0.18415,0.16295,0.12278,0.17337,0.30371,0.1435,0.17364,0.13315,0.15602,0.15133,0.12001,0.07624,0.15159,0.10826,0.10714,0.10523,0.08809,0.09967,0.11393,0.0899,0.0845,0.14992,0.17395,0.13096,0.10241,0.10356,0.06901,0.08648,0.06548,0.07047,0.06935,0.07001,0.08534,0.10357,0.11637,0.10406,0.10815,0.12084,0.07288,0.07535,0.07053,0.07115,0.06992,0.08075,0.09216,0.09282,0.15453,0.08993,0.14331,0.10514,0.08956,0.08993,0.09653,0.07527,0.06969,0.12349,0.07296,0.09528,0.07413,0.18989,0.11229,0.12205,0.13449,0.11885,0.10648,0.06262,0.09717,0.06937,0.0,0.05882,0.06499,0.08378,0.0586,0.06391,0.06484,0.06009,0.05942,0.05181,0.10149,0.07104,0.07112,0.10104,0.07274,0.0611,0.08734,0.06052,0.06419,0.07522,0.06758,0.05245,0.05088,0.05868,0.10983,0.09212,0.10985,0.09384,0.10421,0.06652,0.06874,0.07689,0.0639,0.0631,0.06787
-3.0,0.04258,0.05165,0.08583,0.05212,0.05671,0.08776,0.07734,0.0,0.04995,0.04964,0.05231,0.06418,0.05186,0.07272,0.05074,0.05781,0.04565,0.06139,0.04846,0.04108,0.04914,0.06163,0.052,0.05508,0.05146,0.05217,0.04204,0.05168,0.14555,0.0406,0.0,0.05786,0.2034,0.08031,0.06211,0.06636,0.12965,0.11802,0.09581,0.09144,0.12598,0.13089,0.10065,0.08322,0.09504,0.08907,0.1066,0.07188,0.07573,0.08028,0.12684,0.07272,0.1188,0.06844,0.06605,0.12447,0.11993,0.10571,0.10462,0.14925,0.05901,0.05567,0.06408,0.05436,0.06467,0.06367,0.0,0.06169,0.13996,0.05382,0.07746,0.16713,0.08791,0.05656,0.06003,0.05369,0.05114,0.04749,0.08171,0.05978,0.04446,0.0522,0.07274,0.06805,0.04674,0.05381,0.05034,0.05906,0.05489,0.06076,0.07051,0.05129,0.04833,0.05342,0.06404,0.0405,0.05915,0.05406,0.05389,0.06845,0.05302,0.04863,0.04089,0.05539,0.04851,0.0368,0.04235,0.10695,0.05286,0.04591,0.05957,0.05246,0.10376,0.0753,0.08889,0.06135,0.10291,0.05266,0.12288,0.06291,0.07155,0.05618,0.05439,0.0923,0.07108,0.06849,0.11523,0.16051,0.1118,0.11306,0.20612,0.50151,0.27219,0.20975,0.17484,0.17941,0.15072,0.11873,0.15635,0.27768,0.1247,0.15822,0.13638,0.15499,0.17818,0.11828,0.07668,0.14965,0.10032,0.09705,0.09496,0.08521,0.09984,0.11324,0.08551,0.07708,0.13609,0.15648,0.12192,0.09785,0.09353,0.06856,0.08201,0.0606,0.06691,0.06279,0.06614,0.09216,0.0988,0.11727,0.09843,0.10529,0.1221,0.07147,0.0704,0.06826,0.06525,0.06657,0.08221,0.08233,0.09014,0.13926,0.08868,0.09789,0.09493,0.0819,0.08392,0.0778,0.07673,0.06452,0.12245,0.06736,0.0926,0.06716,0.18989,0.10692,0.12687,0.11021,0.11825,0.10262,0.08543,0.08846,0.07122,0.05462,0.05788,0.06231,0.07977,0.05607,0.06955,0.06241,0.0597,0.05576,0.05135,0.10149,0.06331,0.06725,0.10104,0.06388,0.05993,0.05928,0.05978,0.05457,0.06728,0.05988,0.05866,0.05122,0.0586,0.09396,0.09231,0.10486,0.08166,0.09502,0.063,0.06799,0.06016,0.05974,0.06031,0.07111
-2.75,0.04165,0.06051,0.06745,0.05214,0.05191,0.07873,0.07573,0.0614,0.04892,0.05043,0.05029,0.05849,0.05055,0.07116,0.05048,0.05538,0.04314,0.06139,0.05013,0.03863,0.04273,0.0561,0.0512,0.05125,0.05146,0.0459,0.04043,0.05168,0.14555,0.0406,0.0,0.05722,0.19025,0.08451,0.0588,0.06332,0.12299,0.11144,0.09163,0.0868,0.12014,0.12038,0.0923,0.08221,0.08408,0.08407,0.10502,0.07124,0.06869,0.06989,0.10692,0.07182,0.10118,0.06911,0.06548,0.10963,0.09838,0.08374,0.0856,0.11121,0.05799,0.05382,0.05954,0.05016,0.06299,0.0632,0.05542,0.05667,0.13996,0.05163,0.06924,0.18479,0.08059,0.05549,0.06166,0.05008,0.04858,0.04661,0.06015,0.05564,0.04259,0.04041,0.07399,0.07119,0.04554,0.0533,0.04948,0.05906,0.05512,0.0526,0.06109,0.05135,0.04106,0.05249,0.05398,0.04043,0.05562,0.05935,0.05119,0.06585,0.051,0.04997,0.04148,0.04949,0.04336,0.03942,0.04146,0.09204,0.04774,0.04616,0.05386,0.04928,0.09745,0.05938,0.07864,0.0599,0.09536,0.05039,0.09538,0.06176,0.06673,0.05261,0.05483,0.08417,0.07133,0.06541,0.11304,0.14908,0.10555,0.10237,0.1969,0.43943,0.25757,0.20594,0.16856,0.16766,0.15449,0.11427,0.13941,0.25364,0.11826,0.15392,0.13082,0.14575,0.13127,0.10758,0.07151,0.14637,0.09455,0.09272,0.0947,0.08313,0.09354,0.11027,0.08359,0.07241,0.12815,0.1518,0.12085,0.08218,0.08052,0.06578,0.07954,0.05987,0.06625,0.06135,0.06093,0.08532,0.09113,0.10472,0.0957,0.10233,0.10646,0.06669,0.06885,0.0604,0.06327,0.06282,0.0762,0.08549,0.08024,0.13102,0.07901,0.08659,0.09067,0.07745,0.08691,0.07103,0.06969,0.06041,0.11526,0.06203,0.08648,0.07022,0.16682,0.10173,0.12038,0.09677,0.09679,0.10008,0.07302,0.08145,0.06436,0.06171,0.05371,0.07122,0.07785,0.05433,0.05884,0.05822,0.05295,0.05089,0.04917,0.0882,0.06118,0.06348,0.08881,0.06287,0.05469,0.05928,0.0548,0.05064,0.06343,0.0586,0.05381,0.04915,0.05698,0.08673,0.08139,0.09513,0.08108,0.08015,0.06613,0.06637,0.05732,0.05971,0.05723,0.06992
