,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,1.04225,0.0,1.44809,0.35772,0.2988,0.64435,0.0,0.59283,0.0,15.28132,0.0,0.0,0.0,14.26146,0.0,0.00558,0.0,0.22703,0.84839,0.0,0.18283,0.0,0.0,5.27816,0.90705,0.0,0.0,0.34953,0.6407,12.33734,0.0,2.12149,43.48675,30.96452,10.21422,18.88984,5.56897,11.44169,11.72887,3.1446,33.75237,55.77267,6.50361,3.1449,1.48731,17.41167,2.4085,7.14178,1.76084,1.56658,1.38064,0.11725,4.53678,0.76027,1.76397,16.24859,4.12851,0.59256,0.41459,5.57797,0.0,14.92032,3.29915,42.97194,4.33837,13.91895,1.04289,0.81814,5.51495,5.36389,1.6336,0.0,35.88353,15.70503,0.72821,7.30978,2.32248,1.84887,2.33304,2.52718,0.10859,3.79103,5.72993,1.90199,2.327,0.03096,2.27221,2.4114,98.53508,0.37759,0.24174,5.72273,0.72038,0.25981,1.74384,6.50891,3.3263,2.34481,2.91006,30.13781,2.768,2.45239,0.0,3.24831,5.32004,0.19609,0.0,0.0624,13.56365,0.90749,0.98529,17.08503,11.73247,4.68488,2.73769,36.20231,5.90556,1.113,34.7565,9.95811,4.1394,0.84862,0.75671,0.32943,3.75687,2.7783,0.0,20.77767,0.0,0.73761,0.0,48.57583,17.73258,0.0,0.0,0.0,0.0,0.0,0.0,9.71008,0.0,0.0,0.0,6.40791,1.82316,15.35344,2.09389,6.99185,0.0,13.9297,11.28338,18.58445,12.13433,17.96153,17.81869,4.83803,31.07273,39.62014,8.67656,20.66336,10.85419,2.64942,7.07576,1.96234,3.02629,6.08754,1.6725,27.49578,21.15445,43.64419,3.27528,3.85981,7.60225,1.11727,1.58134,1.68096,1.12759,1.09579,3.5139,1.5685,8.44002,28.28194,20.94961,18.86393,7.62259,3.2644,0.61501,4.68902,26.66553,1.43038,2.86178,4.17762,3.26066,10.06141,3.92119,0.0,41.97475,2.20886,15.64796,8.29721,0.85728,2.16005,9.59507,1.99341,0.72086,1.77925,0.62812,2.22154,2.06992,0.55451,0.73392,2.69212,1.85576,0.0,3.07718,5.87635,2.91773,3.22012,1.0841,2.84456,1.15381,1.93542,3.35757,23.7955,2.36658,7.6114,3.87832,16.27026,1.23888,1.66563,2.20337,30.12131,4.47077,3.19765,0.15352,15.71794,0.0,22.90629
-4.75,0.9523,0.0,1.44809,0.71882,0.2988,1.82969,0.0,0.50276,0.0,15.29078,0.0,0.0,0.0,9.50338,0.0,0.04241,0.0,0.22703,0.84839,0.0,0.18284,0.0,0.0,2.69546,0.90705,51.18585,0.0,0.34953,0.6407,12.33734,0.0,2.12149,43.89407,31.31991,10.41872,18.92783,5.84004,10.36351,11.22994,3.15869,35.65312,37.30025,5.19997,3.19046,1.54286,17.4376,1.98179,5.97281,4.77765,1.56658,1.38064,0.11725,4.25409,0.82241,1.61809,17.34593,4.12851,0.62176,0.41459,5.58335,0.0,15.04078,2.51252,42.97194,4.33837,9.29666,1.35674,0.81814,5.51495,5.05487,1.64146,0.0,35.88356,17.97305,0.72822,8.38195,3.16807,1.84887,2.33304,2.52718,0.10859,3.05678,5.72993,1.75715,2.1778,0.03096,1.60157,2.41707,65.91302,0.37759,2.1753,4.2437,0.67645,0.25981,1.74384,6.50891,3.34819,2.34744,2.91006,30.28606,2.83683,1.4415,0.17898,11.18405,5.32267,0.19236,0.0,0.0624,9.48746,0.76208,0.98529,17.09786,11.73247,5.03815,2.65836,38.86344,5.90557,1.06623,26.81166,8.65212,3.31512,0.84863,1.75636,0.32943,5.06433,2.78321,0.0,40.06149,0.0,13.44572,0.0,48.57583,40.85473,0.0,0.0,0.0,0.0,19.8587,0.0,21.71693,9.13769,0.0,0.0,9.62805,1.83001,12.98149,1.64364,6.03373,6.99695,22.61406,11.40269,14.95616,13.20076,17.96159,18.09525,4.8326,32.52164,39.62023,10.20374,20.66336,9.93768,2.49376,7.07576,1.54506,2.90151,5.96647,1.61454,27.76881,21.15457,44.69572,3.17838,3.76733,6.42528,1.06347,1.37326,1.68096,1.0553,1.09816,3.5393,1.60349,8.44003,20.85868,24.84825,29.30526,5.79162,3.15606,0.59149,3.85721,27.00841,1.21394,2.87571,4.28226,3.31951,7.09565,2.9641,0.0,33.29771,2.06563,15.64798,7.57848,0.85132,2.24303,8.73459,1.99341,0.70317,1.77925,0.70159,2.22154,1.72366,0.84072,0.95306,2.52444,1.85576,0.0,43.44396,5.87635,2.09743,3.33585,1.05136,2.24026,0.88544,1.9359,4.08946,19.29505,2.36658,5.08978,3.87832,16.2703,1.8972,1.69979,2.43855,33.99241,3.61424,3.19765,0.9516,15.71794,0.0,28.7487
-4.5,1.00244,0.0,1.44809,0.71882,0.24846,1.45761,0.01622,0.52158,61.34074,15.29078,0.0,24.14642,0.0,9.50338,0.08122,0.04241,0.0,0.26597,7.12956,0.0,0.18284,0.0,0.0,2.69546,0.72444,51.18585,0.0,0.34953,0.64072,9.66138,0.0,1.59116,43.89411,31.52457,10.756,18.92783,5.84005,10.36355,11.37267,2.92837,35.84859,37.30026,5.24863,2.6985,1.53187,17.47522,1.9902,5.56376,4.95719,3.17878,1.20536,0.11725,3.9655,1.0285,1.66551,16.36136,2.53463,0.64873,0.2764,5.70728,0.0,15.06861,2.20805,22.29284,3.76047,9.29666,1.65341,0.82643,5.51495,4.62793,1.64146,0.0,36.86408,21.1124,0.73433,8.38196,3.16807,1.84887,2.33304,9.51932,0.10859,2.56497,5.72993,1.77519,1.94984,0.27867,1.7059,2.25916,65.91302,0.37759,1.94962,4.68988,0.67645,0.25981,1.74384,6.50891,2.70076,2.21418,2.98047,30.44423,2.89176,1.4415,2.79813,11.18405,4.37895,0.19236,0.0,0.0624,9.48752,3.52892,0.68533,17.11192,11.66222,5.03815,2.26416,39.72625,6.07683,0.83401,26.9056,10.23306,2.8274,3.4242,1.75636,0.32943,5.44732,2.5655,6.86895,40.06153,0.0,13.44577,0.0,24.29029,42.34471,0.0,0.0,0.0,0.0,23.75397,0.0,21.71697,9.13806,0.0,0.0,9.24171,2.28379,13.55253,1.60093,6.01507,6.997,22.67693,11.4405,12.42326,14.67557,17.96162,18.1404,4.93914,35.90361,39.62026,9.58346,20.66337,10.19302,2.18269,7.29458,1.29031,2.43917,7.11599,1.46444,35.65384,13.00988,44.85131,3.05836,3.59919,6.42528,1.12436,1.63216,1.6256,1.0553,1.56464,3.03833,1.51464,7.32477,20.85874,24.84832,29.41228,5.79162,2.77122,0.84776,3.23944,22.58465,1.21396,3.1993,3.71619,2.7568,5.68998,3.33339,0.0,33.52908,1.76623,10.84448,7.63793,0.90307,2.33421,8.26912,2.52634,0.84704,1.78269,0.70398,2.57449,1.72366,0.85771,0.95306,2.04694,1.85576,0.0,55.07793,12.18454,2.09743,3.3613,2.05986,2.0808,0.88544,1.9359,4.08947,16.09988,1.97544,5.1989,3.45784,16.27039,1.79407,1.56422,2.39041,36.0769,3.37176,3.10349,1.00872,12.10598,0.0,28.91255
-4.25,2.15419,1.44864,1.31903,1.53012,0.32059,1.45762,0.01622,0.53674,61.34075,12.49493,0.0,24.14643,0.0,9.50338,0.08122,6.49289,0.0,3.45009,7.13088,0.0,0.16225,5.34597,0.0,2.69546,0.66725,51.18585,0.0,0.34953,0.64072,9.66138,0.0,1.27294,43.8942,26.0471,10.84213,19.18966,4.60847,10.36358,10.83972,2.90524,36.19758,36.74118,5.56448,2.56493,1.53454,21.98538,6.17404,4.86828,4.41057,3.83431,1.20536,0.31775,3.76007,1.53405,1.94518,14.45208,2.38001,1.7683,0.70963,4.88388,3.32485,11.35329,2.22107,22.29284,2.69305,9.29666,1.65655,0.82643,5.51495,4.1112,1.38051,0.0,36.86411,21.35997,0.90101,8.38196,2.79075,1.4564,6.58255,9.51932,0.88857,2.56497,5.71609,2.10182,2.15597,0.65354,1.63928,2.81608,65.91302,1.13653,1.84565,4.68988,8.30222,0.47959,1.3668,4.50973,2.79482,3.42162,2.6779,26.68604,2.85123,1.31728,2.79813,8.50327,4.37895,0.19236,0.0,0.0624,10.22904,3.52892,2.18995,14.26084,8.3165,5.03815,2.72504,40.06937,6.07689,0.91916,26.99351,9.3305,2.61829,3.08361,7.41958,0.32943,5.08688,2.49273,16.00132,43.90762,0.0,13.9488,0.0,24.29031,34.12366,18.03267,0.0,0.0,14.93253,24.73857,0.0,28.08138,9.13891,0.0,0.0,10.42391,2.16945,13.90463,1.47011,5.39267,9.16676,23.06769,13.99203,12.10292,11.08319,20.21417,18.24664,4.07218,39.20589,45.40473,9.95936,20.66337,10.41421,1.91066,7.85596,1.12409,2.218,7.53009,1.72166,25.03183,13.22911,46.23749,2.85128,3.50391,6.47944,1.17282,4.05605,1.49648,1.29353,1.73891,2.85451,1.31646,6.91767,23.79036,23.34491,29.30355,7.87652,2.6315,0.72134,3.44285,22.79997,1.05559,2.82108,3.83899,3.0403,5.52162,3.45205,52.3601,36.57643,1.65409,10.84449,7.10449,1.3373,2.17799,8.33721,3.64264,0.75078,1.52429,0.70398,2.57449,1.87568,1.25886,1.56776,2.04694,1.55734,2.0486,55.07793,11.38585,5.93185,3.3784,2.05986,2.84035,0.88544,1.29013,4.08947,11.23727,1.97544,4.2768,3.18566,16.27042,1.61408,1.47398,2.50293,40.30837,3.42519,3.05979,1.00872,8.61192,0.0,17.65494
-4.0,2.35875,1.44864,1.27173,2.65419,1.44414,1.70782,0.01623,0.53674,61.49262,12.49493,0.0,24.14643,41.55337,10.17729,1.65326,6.49289,0.0,3.45009,5.75725,0.0,25.83145,5.34597,4.14464,2.69546,0.66725,26.30865,0.0,0.34953,1.32622,9.66138,34.20765,1.27295,43.89421,26.19929,12.89195,19.18967,4.04625,11.76224,9.58549,2.9546,34.05317,40.70818,5.72111,2.49204,1.45111,19.0452,5.60391,4.52079,6.39173,3.37044,1.20536,4.70354,3.76007,1.45469,3.4252,15.44509,2.23847,2.17447,0.70963,4.95888,24.47248,11.42934,2.24151,14.24781,3.22075,7.29643,1.65655,1.52835,3.15262,3.81118,1.35101,85.81293,38.73054,17.33374,1.72745,20.12995,2.78945,1.4564,5.34838,11.62544,0.70354,3.62769,5.2675,1.99448,1.87874,5.3339,2.24731,2.81608,49.57601,1.79014,1.85204,3.96371,7.7828,5.13912,1.12157,7.22267,2.79482,3.34833,2.6779,29.35716,6.08993,1.7178,20.92793,8.50327,3.70715,1.12886,0.0,5.31574,8.67198,5.43803,2.18995,17.34477,7.18116,5.03815,2.40567,60.13642,5.10484,0.88252,27.85585,9.90224,2.61829,2.88872,6.21174,0.32943,4.96609,2.61541,19.2051,33.30463,21.63289,12.06054,0.0,24.29036,34.99638,27.48886,0.0,8.25512,14.93261,35.78361,19.8174,21.49808,9.1585,0.0,0.0,10.0686,1.95735,14.71996,1.35853,5.0448,10.50311,24.32034,10.57559,11.44792,11.3385,20.21423,17.91133,3.51423,39.20592,45.40478,9.05285,20.66337,8.96738,2.66061,7.29676,1.15671,2.218,6.29034,1.74146,26.57973,13.59568,39.10835,2.68228,3.13055,6.11998,1.2394,4.05605,1.49648,1.29353,1.73891,2.88334,1.29745,7.09209,19.53144,23.34495,26.93643,8.1752,2.55905,0.72134,3.59364,16.21501,8.86169,2.62196,4.05715,2.9312,4.78902,3.03509,52.3603,29.15288,1.57883,7.49396,6.55745,1.3358,2.37644,8.05098,3.64264,0.75078,1.46463,0.81382,2.42336,2.07245,2.04153,1.43714,2.43729,1.55734,1.55341,55.07793,11.38585,5.05484,4.83448,2.30383,2.84035,1.26616,1.28005,3.63552,10.17383,1.75027,4.2768,2.82382,16.27048,2.22662,1.42955,2.44242,40.39819,3.5662,3.06554,1.17538,7.55876,0.0,17.87086
-3.75,2.35342,5.54268,1.86497,2.2811,4.31372,1.70782,0.01623,0.53674,61.49262,20.37358,15.22725,20.35093,21.50714,9.48595,1.99142,5.40083,405.5214,3.4501,4.53969,0.0,25.83145,21.37656,7.72986,1.84271,4.6058,26.30865,3.35919,1.13806,1.32622,8.2894,34.21279,1.31939,26.30228,19.68711,13.43151,19.40579,4.93383,10.83096,10.05647,3.12905,36.90493,47.74268,6.29106,4.72942,1.59499,19.62698,4.7931,4.18745,4.72751,3.02704,5.39571,4.12455,4.96978,1.28876,2.88092,12.62978,2.2484,2.56561,0.70964,4.3565,15.16553,9.19187,2.61697,12.20461,3.75153,7.24961,2.39454,1.52835,3.15262,4.78352,1.35101,85.81296,47.99267,17.66428,2.19176,20.12999,2.78945,1.9053,4.71022,12.76744,0.60717,4.38936,5.2675,2.00139,1.87874,4.98133,2.25989,2.56174,39.66083,1.79014,1.85204,4.34219,7.13935,4.83482,1.12157,11.40585,5.15178,3.27143,6.21171,24.86067,5.4212,2.74661,27.60603,7.24253,4.24118,1.20122,0.0,4.32323,8.12828,4.12224,3.28752,17.34483,10.84961,3.86878,2.22626,64.21574,3.60675,0.91444,27.96629,9.43528,2.61829,2.76329,8.54794,2.36993,5.12664,2.43236,18.41152,33.69691,16.88635,13.79445,19.57908,28.26688,35.5116,34.04284,54.3202,21.05352,20.54009,35.78378,19.70361,21.49821,10.17161,36.85645,0.0,8.63058,1.8558,15.63771,1.25554,4.93477,10.59729,19.89202,10.51966,11.57796,10.03551,15.07222,17.98739,3.41725,39.28814,63.06199,8.63197,20.66337,7.35818,2.80858,6.63136,1.29436,2.091,6.35072,1.88038,32.96286,10.45451,33.57645,2.72595,2.87764,6.13218,1.28803,3.29184,1.49703,1.02065,1.50624,2.82853,1.21292,5.92398,21.09988,20.69105,25.90706,5.86693,2.58289,0.80554,5.37443,14.39377,10.6172,2.59986,3.53251,3.09466,4.47075,3.42423,28.48488,30.02619,1.47725,5.99959,6.23435,1.60475,2.15608,8.05098,5.25319,0.88035,1.68407,1.20703,3.85256,3.48431,2.04153,1.43714,3.4944,1.02812,1.55341,48.20686,11.38585,5.05484,5.21579,2.12591,2.47169,1.08407,1.28005,3.37337,7.60963,1.75027,3.91007,2.62718,16.27052,1.92596,1.39114,2.34616,26.24308,3.64993,3.06554,1.28345,7.53291,2.79534,18.44758
-3.5,2.99697,12.1197,2.00821,3.7602,9.21876,2.08601,5.56657,2.16857,61.49262,20.37358,15.22725,20.35093,21.50714,6.48829,1.99142,7.85548,219.54458,2.75429,6.24629,0.0,24.19737,21.37656,7.72986,1.84271,6.5005,57.8896,1.69827,1.15121,1.32622,8.42043,34.23582,9.10057,27.13448,20.08526,11.26659,33.36808,4.5454,16.52213,10.09944,2.35497,34.94449,47.87288,6.32314,3.72788,1.47317,21.07111,3.93665,4.37168,5.07798,2.72446,13.38776,3.9561,3.66546,1.43645,2.77058,13.09791,2.10986,3.30841,0.63571,8.03005,12.71181,7.72841,2.7446,12.20461,4.0679,6.91374,2.05246,1.45338,3.15263,4.92027,1.62026,85.81296,47.99268,18.02429,2.68484,20.12999,5.02209,2.41548,4.30042,11.94519,1.32859,4.38936,7.10692,2.32476,2.4203,5.03938,2.25608,2.50889,42.69188,1.63427,1.57427,4.34219,4.89707,4.84115,1.87525,11.40585,4.46379,3.29303,5.75773,29.24923,9.37237,4.13123,27.60603,6.85418,4.24118,1.04845,3.35535,4.35438,8.48886,4.12224,3.28752,31.85961,16.12899,5.95407,2.94314,66.13996,3.03109,0.83386,28.02136,9.10461,2.34022,3.92484,8.33876,2.36993,5.05688,2.20406,19.59671,36.44051,20.43633,12.78019,13.76842,28.26692,37.49431,37.69348,54.3202,24.04014,14.50851,39.31172,18.9475,19.70513,7.63819,34.25636,14.90222,14.08258,1.6548,16.15775,1.35105,4.94938,14.96033,24.46351,10.70368,12.07035,7.97662,15.57758,13.57892,2.84678,31.27188,63.06217,8.75415,10.33204,8.57225,2.71296,6.27079,1.28835,1.74543,5.82519,1.65363,30.31789,12.21346,28.37518,2.69024,2.72248,6.63325,1.17306,3.16195,1.49703,2.18662,1.40392,2.00645,1.28804,5.54226,22.87857,20.21496,24.53027,5.74586,2.43269,1.04757,6.40879,15.11455,10.61812,2.50088,3.78192,2.57593,4.38787,2.81266,20.48084,31.28131,1.38541,5.41547,6.01304,1.83027,2.12787,8.75927,6.53279,0.88035,1.44956,1.14509,3.85256,3.41978,2.80946,1.92327,3.4944,1.85961,3.03591,32.12025,18.77581,4.80746,5.30042,2.13988,2.63415,1.08407,0.9896,2.75107,6.43727,1.60388,3.4538,3.10931,16.27056,1.87949,2.23026,2.41365,26.24311,3.64993,4.03232,1.38219,7.76915,6.49422,18.58567
-3.25,4.96931,11.33075,2.00821,3.67138,7.76543,1.98982,5.57955,2.37589,53.08974,12.03122,22.53364,28.9385,20.3257,7.29876,5.30975,7.85548,98.10392,3.41997,13.7227,20.76144,27.97166,14.29275,13.38267,17.38677,6.5005,57.8896,10.07123,1.15121,1.74569,21.32612,22.56131,6.42214,21.04456,17.26093,10.1538,33.36809,4.65582,13.03691,11.86357,2.1547,35.58818,44.87759,5.65195,3.34387,1.71408,16.06497,3.49668,4.20513,6.01497,2.52797,21.93237,5.14897,4.50573,1.50308,2.68741,13.21883,2.59696,3.13548,0.69366,7.93942,10.57414,7.73094,2.33786,7.33369,6.8912,6.91374,1.80794,1.45338,3.15263,4.63096,2.19723,31.42578,32.3264,14.09792,3.08303,19.63075,4.76452,2.16059,5.06659,10.9542,1.32859,4.09556,6.07856,2.30872,2.28774,3.34649,2.05077,2.38037,37.23695,2.26618,2.40931,5.08998,4.89707,6.22754,1.87525,10.48056,4.30756,3.05422,7.58333,24.27495,8.62153,5.95628,22.98974,14.48468,3.58093,1.04845,3.35535,4.35438,7.64468,3.57701,5.87483,28.14288,16.12899,5.16029,2.73246,66.3928,4.55242,2.36691,28.02139,9.30777,2.37176,4.47333,6.22352,2.37282,4.92798,2.42396,21.77001,23.64516,17.83238,13.44885,12.74692,30.03835,37.61721,29.88972,38.99386,33.85865,30.59407,28.63617,21.8582,34.35838,16.39698,33.86825,27.09138,14.8112,1.68909,15.4172,1.32278,5.1238,16.57763,25.49816,11.0585,10.40704,8.71046,18.57796,14.31379,2.6293,33.10353,63.07822,8.13766,10.33209,7.51487,2.35181,5.679,1.28835,1.60086,5.81963,1.8677,25.84186,12.81595,29.5425,2.44181,2.31814,6.63325,1.11237,2.366,1.61505,2.18662,1.44346,1.53994,1.48392,5.39167,20.10315,20.98348,23.02486,5.19848,2.16534,1.09195,6.82849,13.92696,12.85366,2.32751,4.4708,2.60728,4.54114,2.94805,19.00251,32.05982,1.46681,4.94551,4.8827,1.94856,2.00483,7.48553,6.53279,1.66515,1.45762,1.65009,4.59714,3.24288,2.21547,1.9403,3.44815,1.85961,3.03591,32.12025,20.78411,5.233,5.31595,3.12124,2.63415,1.08408,1.72836,2.75107,7.73039,1.60388,5.99612,2.84878,16.2706,1.85173,2.17341,2.33124,27.7353,3.64406,3.99273,1.94581,7.8051,15.41153,18.65782
-3.0,4.69461,15.33112,4.35066,4.24232,6.77623,3.48194,6.28373,6.78795,35.85011,9.01826,17.5395,24.18303,11.2865,6.08921,5.88445,6.72164,89.72877,7.26419,13.26403,19.36347,24.53239,11.88627,13.09423,18.91048,6.39022,44.47222,21.2631,16.65099,17.61401,21.32613,18.98102,9.69205,18.36825,15.64918,10.8656,23.32612,6.03986,14.34055,9.04275,1.84556,36.17379,36.94439,6.16528,3.12047,1.75092,14.23665,3.47308,3.80084,5.99084,3.51827,19.41135,8.3611,5.07482,1.9076,2.73141,12.03781,2.45232,3.67802,3.21449,7.10011,13.96326,7.69805,2.04847,6.879,6.67937,6.40937,4.20531,2.09063,5.34455,4.17645,2.14965,31.42578,32.47767,13.99829,3.07065,19.63608,3.71573,3.55756,5.06659,9.49824,3.73417,4.60659,6.07856,2.21543,2.10459,4.59664,3.91888,2.38037,28.08161,4.57201,3.74993,5.08998,6.1113,5.51919,2.44771,6.88281,4.30756,2.94451,7.92274,25.59543,11.42273,5.95628,21.21719,9.71157,3.58093,8.5569,27.42804,3.67221,9.47469,4.1502,5.61812,35.22553,14.21634,7.10811,2.44778,73.85174,7.63294,2.31517,28.05299,9.42484,2.20818,5.85358,6.00546,2.01,4.69597,2.22632,22.36467,30.46674,36.01054,13.74602,12.74702,30.80134,39.856,28.41722,31.32149,34.69454,28.53611,28.98652,21.92288,29.98254,17.94623,27.437,25.26613,14.93538,1.5424,14.612,1.36199,4.8573,17.8132,18.75954,11.14369,9.02948,7.01248,17.59202,15.15131,2.33974,33.10366,33.4208,7.78151,9.22625,6.84994,2.93341,4.99219,1.10352,1.71076,5.56042,2.15596,24.5076,15.81274,16.18015,2.19631,2.12325,6.00275,1.18668,2.4014,1.64718,2.6474,1.44346,1.5991,1.56467,3.95833,19.89811,21.36454,21.37588,5.77176,1.71983,1.09195,5.55438,14.13113,12.10669,2.06834,4.51759,2.70604,4.37459,2.92887,19.63141,32.99241,1.46554,4.68517,4.50849,1.94856,1.73002,7.0602,6.40725,2.19538,4.45547,1.65009,4.59714,4.4788,2.24434,1.9403,4.92696,2.74227,3.16202,32.11145,14.05884,5.233,5.52296,3.12124,2.60008,3.19197,1.72836,2.49055,6.65803,1.95276,5.99612,3.72784,24.43642,1.95981,2.12042,2.39619,30.74665,3.08233,3.60391,1.94581,8.17263,13.79884,12.63061
-2.75,5.63855,15.33112,5.84693,3.91829,8.16075,4.47163,8.06142,5.93921,30.57706,8.42102,16.5444,23.69989,10.2078,5.91363,5.00706,5.19592,65.99678,6.95038,24.51706,18.07449,23.67089,11.50571,13.09423,18.91048,6.07991,39.86664,21.2631,15.21279,16.44538,18.11811,27.57214,7.96929,12.95881,14.1728,10.39487,18.23607,5.32903,14.06489,7.06325,1.76407,20.11206,26.73882,8.0873,2.67587,1.80059,13.69323,3.46794,3.49613,6.90092,3.55999,19.33345,8.73185,4.59681,1.9076,2.88035,10.90851,2.43404,3.92284,3.89537,7.49399,16.05867,5.81227,4.6826,6.8802,8.50686,6.38574,5.37026,2.46726,16.14893,5.41522,2.09598,41.90286,17.82459,14.40903,3.06786,16.36628,3.57492,4.40965,6.81927,9.69877,3.94742,4.60659,4.48854,2.30408,2.16439,3.75763,5.82355,1.9209,22.81167,4.86546,3.74993,4.72902,6.1113,5.51919,2.64577,9.19181,7.19399,2.92135,7.38631,23.39657,11.30612,5.20179,15.46174,10.12222,4.45431,7.00424,27.42804,7.92599,8.08173,4.1502,5.61812,30.21679,13.28806,5.53216,2.25835,73.92959,7.3021,2.19652,28.05302,7.57017,1.89324,5.78148,5.65427,5.1229,4.58233,1.93643,18.77592,31.36419,28.18468,14.64588,20.44565,33.36077,33.11237,30.35444,31.3288,34.24308,25.40176,27.52583,22.82735,24.84204,18.4145,26.67071,22.29719,16.70135,1.72238,13.74622,1.26685,5.29611,18.489,15.87039,9.17435,8.70695,7.33948,16.6553,12.58767,1.95028,25.66504,28.67586,7.58394,5.3536,6.86717,2.98525,4.23889,1.06235,1.78589,4.67647,1.84146,24.58597,14.8135,15.95777,2.03803,2.12233,4.2407,1.13982,1.97304,1.64718,2.90048,1.86851,1.5991,1.56792,3.8764,20.15493,19.81377,21.65543,5.17774,1.68319,1.17061,4.49329,11.9191,12.11584,2.33555,5.16023,2.74808,3.75866,2.92293,22.46625,33.40754,1.41837,4.3696,4.05115,1.94883,1.3358,7.0602,6.18549,2.19538,4.41247,2.06036,3.81873,4.21883,2.23233,1.74177,4.92696,3.37993,3.16202,24.54335,14.45152,4.29953,4.81564,3.12187,2.60008,2.96317,2.24041,3.40654,6.52608,1.95276,5.73637,3.61869,16.52236,2.30925,2.17229,2.3838,22.86468,2.63763,3.81674,1.97299,6.43233,13.08423,10.27696
