,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.88598,0.09416,0.38118,0.2431,0.0,0.71073,4.69365,0.71631,0.0,16.52146,46.11641,0.0,0.0,0.0,0.0,0.0,0.0,3.65334,1.17914,0.0,2.03268,0.0,4.26516,15.51812,0.0,0.0,23.27487,0.0,2.621,21.88573,0.0,2.24032,42.80442,31.43272,17.63249,1.98355,4.60212,0.0,12.66683,4.40405,29.41284,57.8683,6.95786,3.79172,1.48106,20.87702,0.04429,0.51463,5.18491,9.06938,1.81475,0.0,0.04214,2.29944,1.67138,8.76971,3.12634,1.36962,1.56138,5.54029,6.21196,21.75874,0.0,0.10385,0.0,0.10221,1.11786,1.79366,2.96025,5.65888,5.20759,0.13063,10.71082,15.34246,4.85858,4.37244,10.80141,0.7887,1.87013,0.44075,4.21502,1.70833,0.90186,4.43109,2.76571,0.01932,1.05793,4.14517,5.94778,2.72662,0.6951,0.77641,1.92366,18.00183,0.23907,0.0,5.59157,2.21699,4.52376,29.98317,4.87107,0.0,0.68649,47.06977,7.31542,56.76192,2.73125,0.18405,8.47504,6.45854,0.0,0.86427,4.61218,8.85936,2.9826,3.10538,4.7441,1.12351,31.1764,9.91499,5.4977,1.14854,1.37004,0.35464,6.46764,6.46825,0.0,0.0,0.0,0.40448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2431,0.0,0.0,0.0,26.75926,3.6616,18.92044,1.86822,12.2114,0.0,17.34032,16.9534,15.0181,13.19013,10.82459,20.48793,2.831,0.0,29.15217,7.51488,26.2054,8.47805,2.25528,7.27701,0.0,1.813,7.0534,1.45217,51.24945,0.0,67.33189,7.12712,5.16052,7.36972,2.42317,1.42692,2.42932,1.64519,0.72494,1.05645,1.99106,41.81829,28.54232,35.96231,17.61766,6.73644,3.2305,7.84098,1.99277,27.01354,13.32159,2.94103,5.92199,2.34254,10.28345,2.08,0.0,7.88135,3.19879,14.0037,10.20321,4.36489,1.66845,0.7921,0.0,1.85686,0.9734,243.50927,0.84192,1.68101,2.8111,0.26526,2.57143,5.18653,0.0,0.0,3.66932,1.07784,1.67562,4.73711,3.65898,1.14315,5.73987,3.28367,3.44308,58.28516,30.94244,192.01783,25.74795,1.51197,4.24693,3.23703,32.83937,3.37468,2.74161,0.19015,1.75134,1.92256,25.77784
-4.75,0.88599,0.09416,0.38118,0.2431,0.0,0.71073,4.69365,0.71631,53.17041,16.52146,46.11641,0.0,0.0,0.0,0.0,0.0,0.0,3.65334,1.17914,0.0,2.03268,0.0,4.27354,15.51812,0.0,0.0,23.27487,0.0,2.1011,21.88573,0.0,2.24032,42.92945,31.75828,15.00526,2.37126,4.66216,11.19028,12.27241,4.41239,29.7955,58.05285,7.08323,3.15248,1.53767,20.87702,80.73054,0.91943,4.06514,9.52117,1.81475,0.0,0.04214,2.05411,1.77836,10.37221,3.42679,1.36962,1.43158,5.58872,6.26313,21.75874,0.0,8.51103,0.0,28.09482,1.30558,1.67402,3.03925,5.4565,5.20759,0.13063,34.73732,15.7478,3.68552,4.37244,8.12909,0.7887,1.87013,0.44075,3.53987,1.56257,0.90186,3.6448,2.76571,0.01932,1.05793,3.1375,5.97323,2.72662,4.22516,0.77641,1.92366,18.00183,0.23907,0.0,5.59157,2.21699,4.58347,30.12998,5.00482,1.96348,0.68649,47.06977,7.31542,56.76192,2.96657,6.6355,8.56524,4.47582,3.0294,0.86427,4.72331,8.85936,3.14972,3.68239,4.74411,1.01671,34.67692,10.0682,5.52792,1.15993,1.37181,0.35464,6.63795,4.50101,0.0,54.62543,0.0,13.51484,0.0,0.0,15.01024,0.0,0.0,0.0,0.0,22.36677,0.0,28.74969,0.0,0.0,0.0,27.30584,3.41399,14.64433,2.12765,12.40382,0.0,17.34032,13.04712,15.43291,11.69498,11.2312,23.50915,3.30367,31.68285,46.03097,7.48865,26.3025,10.74753,2.33912,7.41151,0.0,1.813,7.12602,1.42414,41.25797,21.15435,33.80079,6.43382,4.71249,6.64935,1.79412,1.32464,2.42933,1.6958,0.72494,1.05645,2.32284,41.81829,19.92238,36.25348,14.30223,6.7789,3.10343,6.58228,2.79977,27.28225,9.07636,2.99657,4.99571,2.34254,8.87926,1.88818,0.0,25.63738,3.11626,14.31486,8.13744,4.36489,1.97662,1.01633,0.0,1.23792,0.9734,243.50927,0.84192,2.12612,2.61969,0.31095,2.23928,4.19412,0.0,0.0,3.66932,1.45508,3.15593,4.03431,3.67288,2.25397,5.83824,3.28367,4.06622,58.28516,30.94244,192.104,25.88106,1.51197,4.39793,3.01478,32.88036,2.96187,2.76537,1.24519,7.02443,1.92256,21.78124
-4.5,0.88599,0.09416,0.66807,0.2431,0.0,0.797,4.27304,0.71631,56.93635,16.52146,30.77101,0.0,0.0,0.0,0.0,0.0,0.28129,5.21115,1.17914,0.0,2.29993,0.0,4.27354,12.89179,0.0,0.0,23.27487,0.0,5.15483,21.88573,0.0,2.24032,43.33958,31.88914,15.38686,2.39971,4.09713,11.98362,11.49019,3.64696,33.1905,38.23582,7.54264,3.16562,1.28123,26.8247,53.9753,0.91943,3.32653,9.52118,1.81475,19.79622,0.04214,2.11463,2.27655,14.28558,3.25482,10.7196,1.43158,5.61125,5.29007,14.90421,0.0,8.51103,0.53065,28.09482,1.1939,14.61643,3.31649,5.15827,5.31021,0.13063,35.4364,15.91434,3.12693,4.37244,9.50733,0.7887,1.87013,0.32557,3.53987,1.56257,0.72877,4.70204,2.76571,0.09496,9.00632,3.85973,4.98986,11.73405,4.23817,4.78833,1.92366,18.00183,0.23907,0.03195,5.62002,2.52829,4.58347,30.47808,5.06367,1.4406,0.68649,47.06977,7.31893,56.76192,14.26457,5.01318,9.47615,4.47582,8.9043,22.48955,20.86854,8.85936,2.41937,3.38486,4.77096,1.43419,34.67699,12.13715,5.5628,1.24675,1.2469,0.71295,5.9162,4.33825,6.97163,44.98573,2.72458,14.11849,0.0,0.0,18.4845,0.0,0.87637,0.0,0.0,22.60948,0.0,29.7676,0.0,0.0,0.0,51.47642,3.48617,14.88485,1.82621,10.15093,0.0,21.76049,13.4053,13.4936,13.29543,12.78798,20.64802,3.39377,32.00335,46.04693,7.38734,26.3025,8.57386,1.45861,7.33489,0.3142,1.82962,7.55568,1.45907,41.71049,21.15436,38.49477,5.54036,4.71382,7.30967,1.43891,1.25911,1.77183,1.3799,0.72494,1.15029,2.25669,41.8183,24.11575,37.22484,24.06105,5.6158,3.14702,5.74977,2.81004,27.56348,9.08255,2.6567,4.51291,13.77434,8.2451,2.50787,0.0,25.81586,2.9139,11.83016,7.83858,3.15802,1.97778,2.95143,0.0,1.16443,0.9734,121.76527,0.87604,2.66357,2.4345,0.58133,2.39847,4.21509,0.0,0.0,4.13887,1.57195,3.82948,4.52364,2.96895,2.25397,7.86454,3.28367,4.13243,58.28516,30.94244,192.4333,26.01272,1.52806,4.40761,2.94732,34.5986,3.07145,2.51626,2.2327,7.02443,1.92256,20.54514
-4.25,0.88599,0.09416,0.66807,0.34264,0.0,0.797,4.4867,0.71631,41.2911,21.02399,20.25708,0.0,0.0,0.0,0.0,0.0,5.89074,5.23228,1.17914,0.0,1.70765,0.0,4.52524,21.06109,0.0,0.0,23.27487,0.0,5.15483,21.88573,0.0,4.1865,43.89408,26.0175,16.73435,2.67674,4.03862,12.29933,9.3723,3.86674,36.26619,38.47184,7.57576,2.86064,1.23993,19.74474,40.49715,8.6751,3.32653,9.56744,1.37377,19.79622,0.04214,2.11519,2.12165,13.70321,3.83455,7.88087,2.16768,4.51954,4.58296,11.24774,0.0,8.52153,0.53065,22.52529,1.1939,14.61643,2.57414,4.53803,5.40972,0.59625,36.35074,16.3139,2.28477,4.37244,9.50733,0.7887,3.81143,0.27797,2.61418,1.33558,0.72877,4.18707,23.23961,0.09497,7.4636,5.22168,4.9908,5.39708,4.23817,3.41116,1.92366,18.00183,0.23907,0.03195,6.18761,2.52833,3.80122,30.52315,4.99559,1.31255,0.68649,47.06977,23.63369,56.76192,17.54722,3.42316,9.77578,4.47583,7.88996,16.89063,19.04899,9.03819,2.78716,3.29813,5.85197,1.2817,35.18051,11.45009,5.5628,1.83767,1.96744,0.71295,6.04144,4.01223,6.97163,45.22955,24.53503,14.36523,0.0,0.0,40.35036,13.39224,1.41035,6.02228,0.0,24.75468,0.0,63.45584,39.13143,0.0,0.0,52.00794,3.17111,12.76498,1.83478,8.89712,41.52074,22.35072,13.46804,13.569,11.93699,7.36344,20.92224,3.33893,33.12722,47.17974,7.27684,26.3025,8.35323,0.79567,7.49601,0.25789,1.7038,7.12455,1.27659,41.78925,12.78986,49.67599,4.75396,5.20487,7.37505,1.34131,1.32269,4.67071,1.3799,0.72494,1.18864,2.76296,22.30984,23.03417,37.58722,25.63063,5.61982,2.98998,5.7528,2.36814,18.19335,17.2206,2.92,4.53626,11.914,6.86152,2.25537,0.0,24.94176,3.04748,11.98253,7.28868,1.96545,2.02444,3.62534,0.0,1.00755,4.04969,121.76527,0.87604,2.68965,6.56536,0.58133,2.39847,2.86274,0.0,0.0,3.41496,1.30373,2.86619,3.89311,7.38581,2.25397,6.85964,3.33694,4.35029,58.28516,30.94244,192.46487,26.53394,2.9305,4.04148,3.36487,34.79655,3.73258,2.52887,1.92883,4.62826,0.84055,20.7552
-4.0,0.88599,1.0359,0.51681,0.40836,0.0,5.89912,3.51977,0.8597,57.35975,20.25563,17.49069,60.86762,0.0,42.53843,0.0,0.0,6.15467,5.23228,1.17914,0.0,1.87368,0.02685,6.94704,21.29065,5.04968,0.0,19.71361,0.0,16.82336,23.49213,0.0,4.1865,43.89418,26.19536,13.56221,2.69154,4.13425,18.55748,9.17773,4.64021,33.61337,40.4981,7.22682,2.76488,1.65275,19.66592,41.02053,7.11564,6.6975,9.60346,7.61692,72.07112,1.18996,1.87157,3.69788,13.96306,5.08294,7.88087,3.99741,4.70835,4.10887,11.35536,0.18415,8.52153,1.67758,22.52529,1.60373,11.19735,2.40616,3.87234,4.67214,0.70167,36.93251,18.23615,1.78167,4.37244,12.04828,0.7887,13.47016,0.27797,4.13486,1.33558,0.80051,4.07204,23.23961,0.48689,7.49882,4.39851,4.98282,9.44417,4.24444,5.19519,1.92366,18.00183,37.90211,0.03195,4.14947,2.6261,3.27634,30.24747,5.45152,1.37201,2.23703,78.65515,23.63369,56.76192,19.83612,5.56403,8.75634,8.27152,8.31316,16.89063,16.43853,9.03819,2.94836,3.32999,4.96617,1.6177,26.98727,11.49929,5.58506,2.60359,4.75278,0.71295,6.15374,3.5002,21.51758,45.90748,25.44593,17.69584,0.0,0.0,45.30856,19.32665,54.71654,7.10523,14.36006,35.78361,26.80096,65.48311,40.05118,0.0,0.0,52.62181,4.14933,16.98696,2.18996,8.64056,42.28376,23.00865,12.89898,12.6087,11.25126,7.74385,20.96254,3.09009,34.26643,39.39809,7.58523,26.3025,8.41355,0.68981,7.67067,0.70448,1.59832,6.54869,1.36943,41.7893,13.17745,50.07748,5.01886,4.48173,4.91121,1.30543,3.04101,4.34969,2.56498,0.72494,1.18864,2.70171,22.46764,22.21477,38.92135,33.85247,4.91867,2.73475,5.68021,2.37274,19.3811,14.23194,3.18666,4.34521,10.05453,6.3087,2.54223,52.3601,30.69473,2.97629,11.99969,7.46447,2.4007,2.05896,3.32487,0.0,0.99137,4.04969,48.99572,23.03794,2.58798,5.86225,0.59473,3.74254,4.99584,6.22751,0.0,3.54247,0.88823,3.08438,5.4685,7.4636,4.88537,7.24461,4.45641,4.35029,310.79241,30.94244,128.65658,26.67256,2.74864,3.84744,3.05632,34.91022,3.05784,2.31661,1.60468,3.22678,1.09268,17.3766
-3.75,0.88599,6.1406,2.18266,0.40836,0.0,7.88985,3.51977,0.58712,57.35975,19.8466,17.49069,60.86762,0.0,88.88731,0.0,0.0,6.21645,4.43865,1.17914,0.0,1.87368,0.02685,10.07136,21.29065,5.04968,0.0,19.71361,0.0,17.22631,23.55827,0.0,3.97112,43.89418,22.42251,11.60645,9.75896,3.58849,18.60174,9.72192,4.83454,35.96658,41.34179,6.4688,2.67112,1.51427,18.52813,27.84473,4.95937,6.00464,8.61049,7.61692,72.07112,1.586,1.85174,3.6704,14.53631,5.00714,7.98816,3.69578,4.11845,4.05483,11.40268,0.18415,12.31571,1.37862,18.81608,1.60373,11.04596,2.82088,4.70805,4.0213,0.96754,45.85523,21.18952,4.69756,6.54373,9.44969,0.7887,11.37085,0.27797,3.53516,1.71201,0.91233,3.50319,17.5158,0.48806,7.49882,4.07322,5.87608,8.87798,8.23302,14.73924,1.92366,28.322,33.96864,2.36327,4.25516,3.01973,4.75472,23.81683,5.90108,7.92833,4.55726,86.15216,28.63122,56.76192,17.38603,5.7401,9.15329,10.29917,8.55819,16.89063,16.44033,8.5733,2.86339,3.41077,4.54547,4.24556,27.64247,9.92428,4.02676,2.47561,4.91093,0.73456,5.30158,3.17882,23.30132,46.35505,26.83226,17.90964,0.83516,0.0,46.11037,19.7089,58.5255,4.44254,16.21608,35.78378,19.75743,41.47018,40.22665,0.0,0.0,30.93348,3.23494,16.10717,2.03955,8.54103,43.68899,20.54997,13.87576,12.77559,11.2788,8.8268,19.65485,2.9439,26.77249,34.25712,7.54369,26.3025,8.97058,0.65626,5.83288,2.45064,1.86642,6.33186,1.58081,29.14114,13.33224,28.65754,3.88447,4.43229,5.00079,2.46886,2.8,6.95368,2.93193,2.78285,2.71211,2.45919,22.5072,22.39986,30.98273,30.4614,5.20632,2.39411,5.9369,2.19891,16.932,11.36644,3.17061,4.21998,8.64612,5.83724,2.90629,50.59948,30.87793,2.64837,10.31188,6.42034,1.9241,2.26918,3.67037,0.0,1.3252,4.04969,48.99572,23.0886,2.42422,5.67346,1.18972,5.37469,4.99584,9.11294,0.0,4.33669,1.33105,3.16611,8.01303,7.08395,4.96491,6.63351,4.45641,2.43663,310.79241,30.94245,97.06649,26.8133,2.13258,5.63045,2.90907,35.13708,2.843,2.19506,1.60468,6.24155,1.7383,17.96566
-3.5,0.88599,5.10553,2.47521,0.6292,0.0,9.97212,6.96424,0.58713,26.39952,23.14629,16.12287,60.86762,0.0,63.39005,0.0,156.27877,7.60642,4.43865,1.17914,0.0,2.32822,0.02685,10.29497,22.71603,5.19725,0.0,56.27915,0.0,17.22631,23.55827,69.36453,3.98686,26.53086,18.62728,13.57753,8.08491,3.41854,20.40868,8.93319,5.02928,41.33715,46.70362,6.55462,2.43768,3.68045,19.91954,20.92632,4.9098,9.91404,7.54172,24.51795,56.53764,1.59902,1.8346,3.23995,14.64782,3.87911,11.36894,3.66361,4.64863,4.29355,7.68037,5.90435,12.31571,6.7942,15.21301,54.91069,8.39854,3.43315,4.75318,5.49113,1.14321,46.02709,17.08692,4.33317,19.19012,7.41057,0.9071,9.64062,1.5166,5.89432,1.71201,11.04385,2.92029,11.79932,0.48806,5.86112,3.48311,5.41379,9.29045,21.24387,13.04032,1.92366,28.33751,38.33661,2.36327,4.25516,3.12174,6.26424,24.88213,5.21637,7.00508,4.58377,73.36335,32.89626,56.76192,15.56176,5.63959,9.19314,10.29917,7.09529,27.10162,16.44734,6.50043,2.55882,3.08243,3.34923,4.41064,27.85089,9.32163,3.60674,2.18652,4.69212,0.73456,5.64116,4.0635,21.79449,45.93113,16.78077,20.0498,22.18842,8.88472,34.38718,19.80712,60.1541,21.60576,20.80601,39.21762,19.81197,54.39204,43.13082,41.28739,0.0,31.65386,2.99352,16.40857,2.00545,7.20888,31.63346,17.09862,11.4388,12.1935,10.23615,12.09828,17.56846,2.84258,19.46276,34.42363,7.35332,26.3025,8.38518,9.02081,5.61946,2.45639,1.50495,7.17798,1.82849,29.56961,13.99367,27.33871,3.85028,4.08572,5.01093,3.29302,2.66365,7.71856,5.53375,2.81084,15.73978,2.40515,15.74373,23.22347,26.28449,32.5019,6.05136,2.13948,5.32687,3.98742,17.46304,11.68802,2.92155,4.11268,8.19859,6.02264,3.73745,50.59973,31.36787,2.46251,6.9262,5.63459,1.77673,2.31993,3.67133,0.0,1.42367,3.91251,57.72211,23.0886,2.05039,4.65827,3.97412,7.96192,9.80251,6.10635,0.0,4.11012,1.23557,3.24752,12.99635,7.62728,4.75386,7.31299,14.61072,2.11056,164.65329,30.94245,97.13836,26.98965,2.02428,6.3328,2.90455,35.33542,2.7024,2.15659,3.28953,7.39427,1.8974,15.89355
-3.25,1.21873,5.29388,2.64518,0.94258,0.0,9.84125,7.18835,4.50386,22.25379,23.14629,12.84119,60.86762,0.0,63.46294,42.36049,156.76977,7.52954,8.77011,0.48397,0.0,14.97145,2.62549,10.51246,20.81231,6.34803,0.0,44.87721,0.0,23.74195,33.03212,48.22324,3.91414,27.06037,18.90015,13.09527,13.58304,3.337,22.21424,9.776,5.33212,43.75244,38.58962,6.95973,2.42013,3.37273,21.5042,12.88334,5.3605,14.74219,7.26226,25.82492,44.31266,1.59902,3.89532,2.64257,14.69751,4.91085,13.67627,8.87606,5.18206,3.43014,7.87535,10.63847,7.85364,5.75476,16.05485,54.44841,7.21664,3.97013,4.52286,5.66653,1.19572,32.58592,19.74775,4.25952,19.19012,6.92234,0.85444,8.78581,1.69765,4.91522,1.9603,11.04385,3.77614,12.08375,1.01749,6.0386,4.46089,5.61974,13.61248,19.19459,13.98979,1.005,23.95031,37.55721,30.46298,3.3978,18.71675,7.13134,26.39112,4.72858,10.88635,3.46966,55.12714,30.37981,108.89866,14.02766,8.86609,8.11447,7.79517,6.07418,34.05981,18.21083,8.898,2.87788,3.20101,3.15206,5.62273,28.0,8.58119,3.63374,1.987,4.44129,4.11566,5.29326,3.98721,23.17144,48.7327,18.61081,18.93473,19.66699,12.06681,35.32365,21.71495,61.57472,29.06693,26.40326,29.03259,20.18203,55.61426,45.84763,40.10233,31.51136,24.97291,2.92463,16.94579,1.81438,7.00973,38.18038,20.15398,10.44012,10.59041,7.81331,15.98165,18.22639,2.87687,20.90432,42.27659,6.75451,26.43261,8.0182,6.89838,5.3078,2.16455,1.3369,6.35692,2.61012,36.39261,12.62057,22.04936,3.80083,4.29185,5.11573,2.69584,2.39675,8.28354,5.51172,3.39267,21.40501,2.3093,11.7249,20.96054,28.07763,29.59927,4.41851,2.07278,4.88796,4.03195,17.55226,10.93015,2.98773,4.13283,10.26906,5.34819,3.50463,23.08029,32.20169,2.68347,6.48618,4.64638,3.37186,2.16589,4.73617,0.0,1.71172,2.74178,56.3971,18.97638,1.96853,4.01092,4.72184,7.87022,13.82063,3.6757,0.0,4.65337,1.91567,3.87834,9.78299,8.40415,4.53882,6.52456,9.08314,2.56601,123.3598,30.94245,65.57161,27.11426,3.09727,5.7133,2.76763,24.63516,3.71436,2.14095,4.82027,7.04653,3.8192,16.0271
-3.0,1.69824,4.99407,1.97467,3.43628,0.42984,9.59117,9.69913,8.17445,23.42637,33.71004,14.80854,90.03001,84.78516,53.40943,28.2861,156.76977,11.64417,8.11101,27.28056,0.0,19.08842,6.64635,13.94496,17.42834,5.33812,6.01448,34.98723,1041.90444,23.25467,24.3787,168.25855,3.76084,13.50525,14.5595,12.82985,14.71418,3.14678,25.79919,10.74621,5.91577,36.37962,39.65166,6.31564,2.14103,3.122,13.30401,10.41968,6.47116,12.4831,6.66625,26.56728,29.69907,7.02374,5.01251,2.85734,14.14299,4.03279,11.46789,9.70908,5.5444,2.85683,8.46274,5.28583,15.58493,6.73635,16.2106,46.69908,6.79361,4.16018,4.44214,4.9939,2.82964,33.26588,16.79516,3.66051,19.19015,6.08856,71.89516,9.88179,2.26092,4.64816,22.29873,15.47497,3.75872,12.1099,4.59021,12.1252,4.88022,8.14501,16.4172,21.04986,12.41133,1.66906,20.94593,23.08242,17.48566,41.06005,13.74736,6.8496,27.24669,4.05392,11.61626,3.80653,45.21535,26.77668,108.89866,12.69986,8.96357,6.54193,6.83448,6.26869,21.09896,14.91663,9.75047,3.86262,3.2608,2.49432,4.86906,28.09048,7.95041,3.63374,4.03959,4.81507,4.11566,5.34695,4.68337,23.98397,39.51369,20.91881,17.08691,18.70967,30.90083,37.13723,20.5858,68.14438,30.5463,24.46623,29.08506,21.96187,61.12468,46.5175,42.28154,41.80275,24.22572,2.96758,18.04185,1.82642,6.72863,33.66345,19.99296,10.84666,10.44267,7.06799,16.35463,19.29615,2.63421,23.95118,35.40915,9.28984,26.43261,6.31058,5.66498,5.17925,3.54409,2.04573,6.05486,2.59428,32.39844,13.43651,20.17243,3.53793,3.33985,5.14731,2.76778,2.42693,6.59819,4.74404,2.96903,21.70255,2.14154,10.4775,17.2712,25.57102,25.84003,3.98293,1.90112,5.37163,4.37307,15.65037,7.90949,2.47852,3.8549,9.12993,5.69601,3.06006,32.06718,28.72741,2.61803,4.86936,4.25825,3.69092,2.16301,15.1907,4.51729,3.23206,2.9527,50.84212,17.03587,1.68491,4.39202,16.34261,7.45048,10.28013,4.50173,0.0,4.11697,2.19266,4.10908,9.20794,7.59054,4.54674,6.40437,8.8844,3.11789,80.96284,31.20451,56.30204,28.51703,3.65528,7.05523,2.8333,26.87382,3.35415,2.09892,4.6577,6.92993,3.08816,14.49918
-2.75,7.46258,4.86784,3.01125,3.43626,42.92153,7.73472,7.23819,8.46554,29.48982,37.88066,13.43499,67.64253,43.911,41.29499,23.35888,114.06189,11.09578,7.55663,25.37687,0.0,16.86534,34.14171,14.59298,17.32554,4.77613,34.74449,29.80621,1041.90444,21.9184,29.1284,168.25855,3.94421,13.20581,13.04895,12.87394,13.08529,3.14916,16.99359,8.1591,5.09764,25.95548,34.65408,6.27054,2.13284,3.48612,13.95244,8.90805,5.42559,11.84854,4.84616,28.19047,24.33396,9.55792,4.38519,2.74281,14.82593,3.9805,13.35639,9.02335,4.20145,3.25371,7.56701,8.15981,11.08075,10.07416,13.59871,32.18058,7.16543,5.10093,3.97063,4.35483,4.07172,27.95486,15.19334,4.63144,19.24609,6.65876,56.38327,9.55827,4.16287,5.50865,21.54825,14.25154,5.07577,11.63955,5.90449,12.19499,4.71347,11.90305,17.65754,16.69052,14.90966,28.98277,19.41775,25.66403,15.15845,38.29291,16.83476,5.74432,24.73019,4.22414,11.31898,4.27978,29.45945,22.70531,73.35098,12.96433,8.57451,9.0304,6.81126,5.79958,26.94322,22.61901,11.20726,3.63506,3.58248,2.45779,6.09703,28.2462,7.08996,4.07014,4.25077,4.33507,3.33594,4.92844,4.20069,20.01207,36.86577,19.88715,14.75847,16.79382,34.18026,39.11824,19.36797,64.16117,29.82392,28.24618,27.69128,23.82642,62.03814,20.83117,32.5035,32.08596,25.255,3.07758,16.27841,1.81308,6.24957,36.13877,19.35757,8.60373,8.79989,7.6666,19.35162,15.83037,2.22328,34.76968,32.50364,8.95023,13.82221,5.85457,5.1125,4.4711,3.49099,2.61839,6.0542,2.62988,24.67604,13.25398,15.05443,3.4295,3.35039,5.50837,2.86305,2.3193,6.17118,5.33095,2.86185,20.65883,2.26524,8.70254,16.0213,22.46058,26.01164,4.02737,2.00932,6.59909,4.3782,15.83917,6.48358,3.30152,3.79307,8.97214,5.18343,3.39555,25.53117,32.84379,2.78916,5.06752,3.56773,4.15598,2.27179,12.38037,18.46018,4.44056,3.9431,48.94063,19.37538,2.06222,4.57198,13.26444,10.92543,10.09826,5.11983,187.54296,3.80892,2.41972,4.83969,7.86482,8.37729,4.50747,6.58466,27.30618,4.22367,52.23712,33.18135,45.24081,23.35375,3.83449,6.62209,2.76942,27.52391,4.34537,1.92516,4.3698,7.1366,3.37658,12.54714
