,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.18116,0.09559,0.11793,0.13469,0.0,0.09145,0.05369,0.07054,0.0,0.06737,0.06299,0.0,0.0,0.0,0.0,0.0,0.0,0.08727,0.12553,0.0,0.06691,0.0,0.07654,0.05832,0.0,0.0,0.05481,0.0,0.08917,0.08579,0.0,0.15779,0.33549,0.27946,0.35469,0.10463,0.17888,0.0,0.31546,0.20105,0.63254,0.72949,0.43755,0.13426,0.10512,0.37277,0.10239,0.09494,0.16145,0.2038,0.15559,0.0,0.37417,0.12108,0.2625,0.39403,0.11656,0.12141,0.12865,0.14158,0.1315,0.10877,0.0,0.05797,0.0,0.20199,0.25275,0.06135,0.1471,0.11585,0.15937,0.40638,1.03546,0.26853,0.09219,0.53365,0.08049,0.16753,0.0804,0.15154,0.0617,0.11288,0.10128,0.12947,0.06937,0.09398,0.13333,0.06733,0.09203,0.07879,0.1931,0.10694,0.07494,0.11327,0.07258,0.0,0.09366,0.10941,0.06134,0.2913,0.10075,0.0,0.10093,0.07203,0.06465,0.20785,0.05288,0.05317,0.24843,0.05834,0.0,0.11005,0.10189,0.06461,0.11096,0.16665,0.15123,0.13373,0.39074,0.2598,0.39963,0.12581,0.07286,0.15958,0.20623,0.13205,0.0,0.0,0.0,0.61902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38418,0.0,0.0,0.0,0.61105,0.19032,0.46431,0.14379,0.26315,0.0,0.61882,0.3664,0.28373,0.26484,0.93877,0.33151,0.14703,0.0,1.04565,0.27013,0.2815,0.23432,0.1153,0.21845,0.0,0.14217,0.13067,0.1101,0.45593,0.0,0.4535,0.14944,0.16226,0.18636,0.10055,0.08843,0.09886,0.11808,0.13031,0.16521,0.14074,0.22716,0.47352,0.75063,0.39052,0.22352,0.15824,0.15477,0.11626,0.30114,0.08186,0.14006,0.20479,0.16675,0.1959,0.11841,0.0,0.69485,0.13639,0.288,0.21231,0.1824,0.12707,0.16786,0.0,0.09063,0.09367,0.09894,0.12819,0.08652,0.09455,0.1198,0.08066,0.09345,0.0,0.0,0.07066,0.08169,0.21603,0.11564,0.08008,0.16231,0.08076,0.11318,0.21129,0.11533,0.12577,0.12592,0.59985,0.1437,0.11586,0.18735,0.47955,0.12959,0.12719,0.13456,0.0855,0.1033,0.24799
-4.75,0.17051,0.09559,0.10672,0.13255,0.0,0.09145,0.05369,0.07054,0.09025,0.06414,0.06299,0.0,0.0,0.0,0.0,0.0,0.0,0.08727,0.12553,0.0,0.06691,0.0,0.07574,0.05832,0.0,0.0,0.05481,0.0,0.07619,0.08579,0.0,0.15779,0.31832,0.26226,0.31761,0.10414,0.16709,1.55274,0.30994,0.19961,0.61249,0.71899,0.43483,0.13082,0.10465,0.37277,0.09168,0.10923,0.13887,0.18911,0.15559,0.0,0.37417,0.11288,0.24098,0.39363,0.11018,0.12141,0.12498,0.14038,0.13019,0.11041,0.0,0.05666,0.0,0.13218,0.24941,0.0612,0.13113,0.10714,0.15937,0.40638,0.98544,0.25123,0.08796,0.53365,0.08245,0.16753,0.0804,0.15154,0.06034,0.10127,0.10128,0.12536,0.06937,0.09398,0.12797,0.0659,0.09222,0.07879,0.16661,0.10694,0.07494,0.11327,0.07258,0.0,0.09366,0.10617,0.05923,0.28069,0.09657,0.06203,0.10093,0.07203,0.06465,0.20785,0.05223,0.05102,0.23002,0.07628,0.06152,0.11005,0.10031,0.06461,0.10439,0.15757,0.14891,0.12889,0.39249,0.25042,0.39703,0.12581,0.07172,0.15958,0.19739,0.12937,0.0,1.63694,0.0,0.584,0.0,0.0,5.22833,0.0,0.0,0.0,0.0,0.6778,0.0,2.1989,0.0,0.0,0.0,0.55614,0.17774,0.44455,0.14161,0.25879,0.0,0.61882,0.35491,0.27304,0.26357,0.97895,0.3261,0.12834,1.30056,0.99876,0.26457,0.24778,0.23092,0.11134,0.21309,0.0,0.14217,0.12944,0.10928,0.42463,0.56337,0.40891,0.14481,0.15954,0.18371,0.09433,0.08712,0.09749,0.11425,0.13031,0.16521,0.13459,0.22716,0.46818,0.72455,0.36002,0.22066,0.15236,0.14577,0.11054,0.27874,0.08006,0.14206,0.19335,0.16675,0.19423,0.11545,0.0,0.62002,0.13123,0.27535,0.19353,0.1824,0.12647,0.15701,0.0,0.09421,0.09367,0.09894,0.12819,0.08479,0.09252,0.11003,0.07672,0.08248,0.0,0.0,0.07066,0.07123,0.20502,0.11343,0.07839,0.14357,0.08223,0.11318,0.17498,0.11533,0.12577,0.1278,0.55958,0.1437,0.11586,0.16504,0.46528,0.12469,0.12621,0.11251,0.07785,0.1033,0.22886
-4.5,0.17051,0.09559,0.06644,0.13255,0.0,0.08665,0.05242,0.07054,0.06895,0.06414,0.05875,0.0,0.0,0.0,0.0,0.0,0.05266,0.08003,0.12553,0.0,0.06292,0.0,0.07574,0.05862,0.0,0.0,0.05481,0.0,0.07102,0.08579,0.0,0.15779,0.30841,0.25956,0.31309,0.09676,0.15867,1.48606,0.29174,0.17922,0.58343,0.68778,0.40641,0.12023,0.09484,0.35517,0.09144,0.10923,0.12888,0.18792,0.15559,0.06724,0.37417,0.11242,0.23051,0.36606,0.10814,0.10182,0.12406,0.13654,0.1295,0.09944,0.0,0.05557,0.06619,0.13218,0.21171,0.0564,0.11699,0.09945,0.15683,0.40638,0.99353,0.24257,0.08966,0.53365,0.07778,0.16753,0.0804,0.12108,0.06034,0.10127,0.09431,0.11798,0.06937,0.09186,0.11708,0.06223,0.0872,0.07771,0.16499,0.09829,0.07494,0.11327,0.07258,0.11475,0.09447,0.09502,0.05923,0.26448,0.08981,0.06024,0.10093,0.07203,0.06247,0.20785,0.05,0.0506,0.22004,0.07628,0.06074,0.09833,0.09196,0.06461,0.09955,0.12819,0.14304,0.12368,0.36482,0.23774,0.38327,0.11635,0.06827,0.16488,0.18403,0.1283,0.58899,1.55534,0.85234,0.55943,0.0,0.0,4.98145,0.0,1.129,0.0,0.0,0.64235,0.0,2.10303,0.0,0.0,0.0,0.52174,0.17254,0.40575,0.12961,0.23994,0.0,0.52006,0.32936,0.25552,0.25286,0.85455,0.3099,0.1191,1.2185,0.99639,0.25196,0.24778,0.21689,0.09697,0.19425,0.08908,0.13932,0.12733,0.10698,0.40779,0.53495,0.38653,0.1409,0.15848,0.17761,0.0934,0.08344,0.09216,0.10287,0.13031,0.15978,0.12714,0.21035,0.43286,0.68816,0.34673,0.20639,0.14709,0.14303,0.10869,0.27437,0.07935,0.1365,0.18307,0.15415,0.18279,0.11114,0.0,0.60747,0.13033,0.25378,0.1883,0.13908,0.12638,0.14805,0.0,0.09224,0.09367,0.09713,0.10582,0.0789,0.08568,0.11723,0.0761,0.08455,0.0,0.0,0.06552,0.07055,0.19836,0.10087,0.07836,0.14357,0.07846,0.10906,0.16771,0.11533,0.11325,0.12323,0.54615,0.14207,0.1048,0.15887,0.45122,0.12202,0.12141,0.10208,0.07785,0.1033,0.20855
-4.25,0.17051,0.09559,0.06644,0.11745,0.0,0.08665,0.0447,0.07054,0.06355,0.0797,0.05205,0.0,0.0,0.0,0.0,0.0,0.04743,0.08242,0.12553,0.0,0.06087,0.0,0.06614,0.05563,0.0,0.0,0.0484,0.0,0.07102,0.08579,0.0,0.12575,0.28702,0.24063,0.29031,0.08833,0.15617,1.46785,0.28262,0.17007,0.51595,0.61953,0.4072,0.11812,0.08819,0.32597,0.08768,0.09342,0.12888,0.18345,0.13625,0.06724,0.37417,0.10561,0.2203,0.33706,0.1032,0.09492,0.11837,0.13457,0.1196,0.09652,0.0,0.05741,0.06619,0.11839,0.21171,0.05587,0.1043,0.09694,0.1145,0.24514,0.93392,0.22305,0.08406,0.53365,0.0752,0.16753,0.06775,0.09622,0.05312,0.0915,0.09431,0.11193,0.06189,0.09025,0.10987,0.06089,0.07673,0.067,0.16499,0.08134,0.07494,0.11327,0.07258,0.11475,0.08865,0.09502,0.05428,0.25818,0.08591,0.06053,0.10093,0.07203,0.05943,0.20785,0.05289,0.05332,0.21319,0.07404,0.05543,0.09389,0.08483,0.05893,0.09844,0.11584,0.14732,0.11379,0.35571,0.21922,0.38327,0.09918,0.06386,0.16488,0.17557,0.12323,0.58899,1.46007,0.84198,0.55426,0.0,0.0,4.72574,1.40979,1.10255,1.0754,0.0,0.65019,0.0,1.98968,1.44187,0.0,0.0,0.48822,0.16449,0.39011,0.12382,0.23452,1.02034,0.5005,0.32342,0.25048,0.24596,0.77997,0.28439,0.11622,1.19382,0.91392,0.24468,0.24778,0.20374,0.09833,0.18707,0.08373,0.12923,0.1207,0.10164,0.40206,0.50851,0.36406,0.13641,0.15005,0.17563,0.09072,0.07845,0.09065,0.10287,0.13031,0.1576,0.11113,0.18705,0.40764,0.64384,0.32517,0.19652,0.13926,0.13618,0.10122,0.2511,0.07773,0.13007,0.17954,0.14823,0.17781,0.10811,0.0,0.56688,0.12621,0.25113,0.17554,0.12645,0.12619,0.14247,0.0,0.09272,0.08602,0.09713,0.10582,0.07788,0.08244,0.11723,0.0761,0.08009,0.0,0.0,0.06495,0.06357,0.1812,0.10005,0.07316,0.14357,0.07802,0.10701,0.16422,0.11533,0.10908,0.12114,0.494,0.14098,0.10352,0.1461,0.44785,0.11384,0.12141,0.10248,0.07783,0.09448,0.20095
-4.0,0.17051,0.07187,0.06975,0.09577,0.0,0.0765,0.04241,0.06479,0.06109,0.07153,0.05037,0.08057,0.0,0.07387,0.0,0.0,0.04506,0.08242,0.12553,0.0,0.05122,0.08007,0.06534,0.05357,0.06737,0.0,0.04725,0.0,0.06771,0.08238,0.0,0.12575,0.27704,0.2287,0.28505,0.08484,0.14559,1.33639,0.26821,0.17058,0.49008,0.60097,0.3359,0.11252,0.0834,0.29236,0.08337,0.0891,0.10481,0.15526,0.13452,0.06164,0.1423,0.09306,0.21299,0.32909,0.09692,0.09492,0.10691,0.12272,0.11821,0.0944,0.06249,0.05741,0.05962,0.11775,0.20856,0.05072,0.09572,0.09222,0.10049,0.24514,0.8356,0.21012,0.07572,0.53365,0.06619,0.16753,0.06384,0.09622,0.05168,0.08934,0.08978,0.10796,0.06189,0.08489,0.10725,0.05704,0.07595,0.06526,0.16493,0.07526,0.07494,0.11327,0.05933,0.11475,0.08732,0.09227,0.05284,0.23751,0.08288,0.05747,0.08379,0.06493,0.05943,0.20785,0.05118,0.05117,0.20504,0.06868,0.05321,0.09389,0.08166,0.05893,0.09268,0.11413,0.13781,0.10011,0.33904,0.21211,0.33375,0.09619,0.06061,0.16488,0.16387,0.11378,0.53644,1.38654,0.78339,0.52288,0.0,0.0,4.51218,1.30752,1.03798,1.0127,0.76522,0.57388,0.56764,1.854,1.34519,0.0,0.0,0.47495,0.15657,0.37583,0.11817,0.20833,0.9685,0.46297,0.29442,0.23786,0.23469,0.75982,0.27652,0.10999,1.09652,0.85446,0.23182,0.24778,0.19777,0.08772,0.18628,0.07486,0.12028,0.11363,0.09702,0.38531,0.47767,0.35798,0.12963,0.14512,0.16158,0.08923,0.08489,0.08675,0.08598,0.13031,0.1576,0.10619,0.1822,0.3836,0.59496,0.31425,0.17227,0.13409,0.13228,0.09979,0.24694,0.07879,0.12645,0.17109,0.13852,0.16386,0.10047,0.85067,0.51459,0.12564,0.25491,0.16946,0.11943,0.1238,0.12954,0.0,0.08792,0.08602,0.09254,0.09148,0.07067,0.07745,0.1141,0.06888,0.08049,0.04742,0.0,0.0596,0.05878,0.17866,0.10075,0.06821,0.12124,0.07251,0.08127,0.16422,0.06846,0.10491,0.10532,0.47097,0.14405,0.09898,0.13973,0.43273,0.10684,0.11618,0.1012,0.08106,0.09344,0.19836
-3.75,0.17051,0.05996,0.06124,0.09577,0.0,0.07191,0.04241,0.0683,0.06109,0.06269,0.04991,0.08057,0.0,0.08049,0.0,0.0,0.04197,0.07685,0.12553,0.0,0.05122,0.08007,0.06045,0.05357,0.06737,0.0,0.04404,0.0,0.06587,0.08238,0.0,0.12362,0.26042,0.21539,0.25829,0.07904,0.13877,1.35355,0.25425,0.16121,0.45362,0.56685,0.32404,0.10208,0.08082,0.27631,0.07869,0.08471,0.10058,0.15325,0.13452,0.06164,0.13085,0.08486,0.20451,0.31495,0.09499,0.09194,0.10482,0.11605,0.10908,0.09203,0.06249,0.05398,0.05568,0.11293,0.20856,0.04639,0.09084,0.09021,0.09007,0.14786,0.82846,0.19618,0.07509,0.40118,0.05387,0.16753,0.05764,0.09622,0.04718,0.079,0.08595,0.10265,0.05885,0.08431,0.10661,0.05582,0.07458,0.06439,0.14703,0.06733,0.07494,0.08041,0.05592,0.07872,0.08463,0.08547,0.04796,0.23608,0.08141,0.0546,0.07718,0.06329,0.05765,0.20785,0.05039,0.04759,0.19618,0.05821,0.04841,0.09389,0.08109,0.05595,0.09144,0.08463,0.12863,0.09254,0.32566,0.1978,0.29765,0.09461,0.05659,0.14298,0.1601,0.10606,0.51594,1.2954,0.7453,0.49725,1.06389,0.0,4.40554,1.23965,0.95397,0.98244,0.73465,0.53606,0.52961,1.75635,1.33012,0.0,0.0,0.44932,0.14711,0.34576,0.11016,0.19857,0.90688,0.43952,0.28692,0.22819,0.22682,0.71701,0.25634,0.10574,1.05632,0.82804,0.2179,0.24778,0.19015,0.08627,0.16735,0.07423,0.11318,0.1132,0.09073,0.35255,0.45516,0.32129,0.12809,0.13123,0.16171,0.08594,0.08112,0.08364,0.07891,0.10795,0.13828,0.09665,0.17285,0.37007,0.57317,0.29805,0.16661,0.11798,0.12592,0.09313,0.23286,0.0756,0.12153,0.15638,0.13676,0.15911,0.0937,0.7949,0.49922,0.12114,0.2207,0.15934,0.11242,0.11687,0.12511,0.0,0.08298,0.08602,0.0917,0.08858,0.06815,0.07393,0.10387,0.06355,0.08049,0.04649,0.0,0.05419,0.05678,0.17388,0.08561,0.06517,0.10255,0.06936,0.08127,0.12413,0.06846,0.10075,0.10025,0.44045,0.11949,0.09425,0.13393,0.42999,0.10185,0.10999,0.1012,0.07697,0.09232,0.19161
-3.5,0.17051,0.05542,0.05674,0.07887,0.0,0.06185,0.03827,0.0683,0.05699,0.05971,0.04815,0.08057,0.0,0.07536,0.0,0.06221,0.04023,0.07685,0.12553,0.0,0.04941,0.08007,0.05453,0.04893,0.05774,0.0,0.04363,0.0,0.06587,0.08238,0.05652,0.11795,0.23056,0.20341,0.22501,0.07595,0.13579,1.22632,0.23633,0.15563,0.42397,0.50573,0.31501,0.09738,0.07651,0.26411,0.07461,0.0784,0.08841,0.13845,0.12566,0.05814,0.12761,0.08053,0.19888,0.30914,0.08773,0.08978,0.08927,0.1077,0.09998,0.08573,0.06033,0.05398,0.05315,0.09028,0.18177,0.04273,0.08903,0.08271,0.07773,0.13134,0.83398,0.19303,0.07235,0.3297,0.04976,0.13037,0.05314,0.08712,0.04212,0.079,0.07296,0.10098,0.05953,0.08175,0.09661,0.05151,0.07178,0.06152,0.13391,0.05718,0.07494,0.07975,0.05375,0.07872,0.08463,0.08483,0.04513,0.22027,0.07812,0.0524,0.06894,0.05731,0.0548,0.20785,0.04866,0.04501,0.19183,0.05821,0.04644,0.08234,0.07884,0.0479,0.08707,0.07823,0.12216,0.09033,0.29835,0.18673,0.30176,0.08719,0.05316,0.14298,0.1467,0.09987,0.4794,1.19707,0.70136,0.44163,1.04061,2.26816,4.29279,1.11144,0.92624,0.92068,0.68226,0.54027,0.49758,1.6282,1.22681,0.66345,0.0,0.43436,0.14223,0.32787,0.10472,0.18721,0.82864,0.41089,0.26645,0.21472,0.20696,0.63406,0.23972,0.10347,0.99639,0.77362,0.2048,0.24778,0.16944,0.07755,0.15689,0.07033,0.09878,0.10786,0.08441,0.3214,0.41334,0.29908,0.12074,0.12753,0.16027,0.07959,0.07641,0.0802,0.06844,0.10795,0.10829,0.09244,0.15731,0.35096,0.51867,0.27867,0.1592,0.11112,0.11607,0.08832,0.22202,0.06641,0.11779,0.15178,0.12724,0.15775,0.09445,0.74438,0.48263,0.116,0.20222,0.14727,0.10412,0.11527,0.12407,0.0,0.08035,0.08821,0.08801,0.08858,0.06682,0.06884,0.09223,0.06217,0.06701,0.04236,0.0,0.0517,0.05624,0.15501,0.08333,0.0603,0.09927,0.06652,0.07106,0.10792,0.06425,0.09241,0.09951,0.41347,0.11215,0.08746,0.12692,0.41506,0.09431,0.09593,0.09617,0.07619,0.08912,0.17171
-3.25,0.14635,0.05198,0.05652,0.07691,0.0,0.05678,0.03673,0.05301,0.05276,0.05971,0.0456,0.08057,0.0,0.07025,0.06072,0.059,0.04,0.07127,0.09831,0.0,0.04378,0.05426,0.05198,0.04704,0.0577,0.0,0.04145,0.0,0.06304,0.06524,0.05894,0.10807,0.22179,0.19543,0.21339,0.06938,0.1285,1.16135,0.22133,0.14025,0.42505,0.47845,0.29449,0.0965,0.07362,0.23124,0.06646,0.07458,0.08384,0.11806,0.11767,0.05446,0.12761,0.06638,0.18675,0.30192,0.08201,0.08062,0.07506,0.10248,0.09422,0.08431,0.06011,0.05224,0.05176,0.08542,0.16179,0.04119,0.0848,0.08146,0.07171,0.11292,0.73484,0.17231,0.06445,0.3297,0.04694,0.11169,0.04954,0.08131,0.03956,0.07522,0.07296,0.09724,0.05463,0.07214,0.09336,0.05003,0.06451,0.05828,0.12324,0.05221,0.06224,0.07211,0.04579,0.05793,0.08164,0.07398,0.04346,0.21083,0.07141,0.04996,0.06373,0.05611,0.04881,0.11326,0.04747,0.04575,0.17898,0.04846,0.0465,0.0769,0.07446,0.04116,0.08024,0.07611,0.11246,0.08657,0.28441,0.17487,0.29539,0.07913,0.04914,0.13234,0.14026,0.09405,0.44614,1.11621,0.64257,0.42043,0.96377,2.11304,4.07462,1.15085,0.82629,0.8549,0.63461,0.49959,0.4611,1.55656,1.1248,0.60754,0.61525,0.40945,0.13656,0.31273,0.1017,0.17911,0.79699,0.38213,0.25157,0.19548,0.19676,0.62079,0.22726,0.10097,0.89793,0.69913,0.19531,0.21601,0.15952,0.07814,0.14997,0.06683,0.0849,0.10185,0.07802,0.29244,0.41161,0.28004,0.11544,0.12034,0.15632,0.07394,0.07284,0.0735,0.0662,0.10301,0.09886,0.08619,0.16067,0.32156,0.48872,0.27049,0.14466,0.10594,0.10509,0.08192,0.21965,0.06246,0.11402,0.14512,0.12385,0.14175,0.09438,0.72854,0.4378,0.1091,0.18856,0.14173,0.09879,0.10947,0.1228,0.0,0.07753,0.0798,0.08339,0.08103,0.0636,0.06363,0.08887,0.06034,0.05853,0.04177,0.0,0.0473,0.05423,0.15019,0.07447,0.05895,0.09407,0.06102,0.0693,0.09695,0.11734,0.09241,0.09155,0.38801,0.10708,0.08274,0.12197,0.36489,0.0889,0.08385,0.09007,0.07073,0.07599,0.1699
-3.0,0.1229,0.04944,0.04848,0.07488,0.0957,0.0502,0.0333,0.04828,0.04998,0.05872,0.04456,0.06616,0.05279,0.05949,0.05914,0.059,0.03859,0.06613,0.07248,0.0,0.0419,0.05057,0.04868,0.04321,0.05645,0.04924,0.04281,0.06318,0.05998,0.05622,0.05599,0.10388,0.20642,0.18258,0.20415,0.06309,0.11791,1.13351,0.2085,0.13369,0.39197,0.43753,0.27047,0.08959,0.07134,0.22347,0.0701,0.07155,0.07341,0.11261,0.10416,0.05011,0.11368,0.06103,0.18021,0.28098,0.07838,0.074,0.07017,0.098,0.08476,0.07787,0.05858,0.04938,0.0501,0.0708,0.14972,0.03733,0.07892,0.07651,0.0647,0.09902,0.68341,0.16292,0.07052,0.32406,0.04501,0.09137,0.04322,0.07312,0.03621,0.06604,0.06267,0.09008,0.05192,0.06571,0.0818,0.04919,0.05943,0.05732,0.11893,0.04886,0.05646,0.0667,0.04122,0.04784,0.07029,0.06889,0.04099,0.19454,0.06683,0.04912,0.05464,0.05704,0.0418,0.11326,0.04297,0.04439,0.16123,0.04564,0.0406,0.06836,0.06457,0.04016,0.07827,0.07001,0.10238,0.07538,0.25841,0.16497,0.29539,0.06894,0.04821,0.13164,0.13216,0.0898,0.40543,1.04393,0.59027,0.3941,0.88138,1.9386,3.501,1.00095,0.80915,0.79596,0.57879,0.45312,0.43195,1.42494,1.04939,0.57511,0.57995,0.37368,0.12706,0.28784,0.09581,0.166,0.74561,0.35146,0.23731,0.18466,0.18549,0.584,0.22072,0.09155,0.86664,0.64313,0.18727,0.21601,0.14886,0.07408,0.13694,0.06271,0.07639,0.09813,0.07409,0.27586,0.37509,0.25895,0.10594,0.10952,0.1548,0.07032,0.06602,0.06848,0.06222,0.09855,0.09299,0.0772,0.1501,0.30304,0.4407,0.24967,0.13545,0.10039,0.09155,0.07444,0.19818,0.05984,0.10849,0.13475,0.11696,0.13694,0.08827,0.67997,0.40895,0.09866,0.18299,0.13823,0.08573,0.10033,0.11358,0.08343,0.07248,0.07501,0.07909,0.07567,0.05923,0.05903,0.07837,0.05749,0.05516,0.04019,0.0,0.04612,0.04905,0.14267,0.07071,0.05511,0.09163,0.05568,0.06731,0.09319,0.09577,0.09091,0.08888,0.36125,0.10137,0.07777,0.1095,0.30184,0.07881,0.08346,0.08621,0.06614,0.06858,0.16634
-2.75,0.10549,0.04323,0.04426,0.07412,0.11339,0.04726,0.03159,0.04578,0.04913,0.05241,0.04169,0.06545,0.05737,0.05278,0.05482,0.05565,0.03686,0.05598,0.067,0.0,0.0397,0.04741,0.045,0.04033,0.05216,0.04679,0.04003,0.05997,0.0556,0.04853,0.05599,0.08998,0.18397,0.16746,0.19405,0.05973,0.11233,1.03778,0.19677,0.12957,0.35029,0.40801,0.24569,0.08445,0.0659,0.19972,0.06612,0.06865,0.06976,0.09612,0.08627,0.04815,0.09235,0.05484,0.15775,0.23184,0.074,0.06981,0.06582,0.09243,0.07684,0.07536,0.05672,0.04204,0.04834,0.06276,0.12415,0.03444,0.0718,0.07013,0.05664,0.08646,0.58755,0.1526,0.06469,0.29867,0.04109,0.08659,0.04156,0.06525,0.03364,0.06484,0.05803,0.08379,0.04757,0.06333,0.08105,0.04774,0.05379,0.05276,0.10153,0.04553,0.05022,0.05995,0.03937,0.04418,0.06186,0.06793,0.0375,0.1803,0.06189,0.04669,0.04899,0.04791,0.03935,0.09315,0.04149,0.04319,0.15099,0.04223,0.03773,0.06296,0.05366,0.03777,0.07433,0.06464,0.10046,0.06751,0.24639,0.15322,0.2592,0.06118,0.04491,0.1167,0.12563,0.08229,0.37424,0.95797,0.54515,0.36775,0.82329,1.79064,3.3082,0.93916,0.72274,0.72896,0.53836,0.4304,0.41545,1.3123,0.93799,0.52421,0.5827,0.35597,0.11777,0.27301,0.08916,0.15636,0.69855,0.32752,0.22051,0.16881,0.17154,0.52864,0.19892,0.08409,0.77595,0.59249,0.17726,0.18721,0.13804,0.06714,0.12696,0.05876,0.06908,0.09589,0.07173,0.26704,0.34602,0.24151,0.10169,0.10195,0.13778,0.06553,0.06286,0.0647,0.05666,0.08771,0.08249,0.07194,0.14272,0.28306,0.41217,0.23169,0.1238,0.09398,0.08598,0.07061,0.18433,0.05583,0.09822,0.13031,0.10692,0.13341,0.08154,0.62076,0.38528,0.09339,0.16917,0.12701,0.07809,0.09406,0.10605,0.07227,0.06714,0.06936,0.07295,0.07292,0.05478,0.05616,0.07339,0.0484,0.05062,0.03802,0.07443,0.0441,0.04526,0.13937,0.06419,0.05261,0.07498,0.05291,0.05698,0.08703,0.08246,0.08339,0.08256,0.33586,0.09271,0.07023,0.10364,0.2788,0.07626,0.0788,0.08009,0.06321,0.06652,0.14951
