,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.14517,0.0,0.28178,0.0,0.13786,0.0469,0.0,1.57764,0.49744,0.0,1.48324,0.0,0.0,0.0,0.55068,0.0,0.10873,0.0,0.11571,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1621,1.0953,0.0,0.8313,0.0,0.75016,0.1641,0.0,0.17133,0.66083,0.0,0.35709,0.97394,0.0455,0.47449,0.09423,0.04312,0.00013,0.48282,0.86461,0.73552,0.15217,0.0,1.45707,1.15503,0.41408,0.0,0.0,0.0,0.0,0.0,0.67611,0.34253,0.0,6.82677,0.0,0.00055,0.36287,0.0,3.78181,3.66925,3.17725,10.19777,1.19916,1.25336,0.0,8.51412,0.0,0.0,0.0,0.0,0.30821,1.91947,0.38644,0.0,0.0,0.0,0.63248,0.0,0.16114,2.08963,0.46016,0.0,0.0,0.0,25.86532,0.10963,0.0,0.16149,0.10735,0.0,0.0,0.0,0.0,1.87052,0.0,0.0,0.0,1.37514,0.0,0.0,0.0,0.0,1.73695,0.0,1.44504,0.02504,2.42995,0.9908,0.0,1.41817,4.53533,1.09343,0.18423,0.0,0.0,0.0,1.45399,0.53719,15.9589,0.0,0.0,0.0,0.0,0.0,0.0,1.12737,0.74878,0.0,2.15383,0.0,0.0,0.0,0.0,1.65833,0.34948,4.73547,0.0,1.08107,0.02267,1.83928,0.85285,0.0,2.31758,1.71611,0.0,0.0,0.0,0.16375,0.22389,3.47434,6.90718,0.0,0.91441,0.17473,0.32562,1.29314,0.43947,0.65773,1.09688,0.0,0.0,0.4844,0.06887,0.0,1.9576,0.0,0.0,0.18129,0.90842,0.0,0.21377,7.76569,0.93713,0.47336,0.0,0.43158,0.66795,0.0,3.56833,0.0,1.74734,0.0,4.06958,6.84337,0.0,0.30347,0.0,0.9186,0.0,0.23802,0.0,0.0,1.97613,0.0,1.21362,0.1294,0.54802,0.36909,0.0,0.19971,0.69423,7.01192,0.24518,0.77496,0.18154,1.37111,0.28306,7.5088,0.0,0.0,0.33973,0.0,0.0,0.0,0.26536,2.00415,1.85863,0.0,0.22784,0.0,1.65287,0.26133,0.0,4.39199,0.0,0.0
-4.75,0.0,0.14517,0.0,0.28178,0.0,0.13786,0.04168,0.0,1.61082,0.49744,0.0,1.48325,0.0,0.0,0.0,0.55853,0.0,0.10873,0.0,0.11571,0.0057,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.10283,-0.01019,0.0,0.87888,1.21384,0.0,0.8313,0.0,0.93453,0.43988,1.59634,0.17133,0.66084,0.0,0.32918,0.97937,0.34601,0.47449,0.18877,0.04312,0.54514,0.49489,0.86461,0.56826,0.22057,0.0,1.45707,1.74146,0.41408,0.0,0.0,0.0,0.0,0.0,0.67611,0.53641,0.0,4.25848,0.0,0.00055,0.36287,0.0,3.82591,3.66927,3.17984,10.19777,1.19916,1.78999,0.0,8.51412,0.0,0.0,0.0,0.0,0.30821,0.99111,0.38644,0.0,0.0,0.0,0.63252,0.0,0.16114,2.08963,0.46016,0.0,0.0,24.86014,25.86532,0.10963,0.0,0.34791,0.10735,0.0,0.0,0.0,0.0,1.87052,0.0,0.0,0.0,1.38818,32.58736,0.0,0.0,0.0,1.73695,0.0,1.49282,0.02504,1.73467,1.0235,0.0,1.41817,4.53533,1.30498,0.18423,0.0,0.0,0.0,1.57703,0.47643,16.29411,0.0,0.0,0.0,0.0,0.0,0.0,1.12737,0.85624,0.0,2.15383,0.0,0.0,0.0,0.0,3.34917,0.34948,4.81877,0.71009,1.09777,0.17279,2.07427,0.95605,0.0,2.03297,0.90817,0.0,0.0,2.21139,1.23837,0.96224,3.47434,7.00745,0.0,0.91441,0.17473,0.32562,1.29314,0.43947,0.65773,1.09689,0.0,0.06192,2.68939,5.86721,0.0,2.04526,0.0,0.0,0.18129,0.90842,0.0,1.32968,7.7657,0.49176,0.47336,2.16048,0.43158,0.68823,0.0,2.68909,0.0,1.87405,0.0,10.67583,6.21714,0.0,0.48786,0.0,0.9186,0.0,0.23802,0.0,0.0,1.97613,0.0,1.21362,0.44271,0.55889,0.3928,0.89321,0.19971,0.69423,7.01192,0.24518,0.66873,1.73611,1.37111,0.28306,7.5088,0.0,0.0,0.33973,0.0,0.0,0.0,0.1917,2.08413,1.85866,0.0,0.22784,0.0,1.65287,0.26133,0.0,4.39199,0.0,0.0
-4.5,0.0,0.14517,0.0,0.28178,7.38773,0.13786,0.05719,0.0,1.71097,0.49744,0.0,1.52662,0.0,0.0,0.0,2.17803,0.0,0.10873,9.74409,0.11571,0.0057,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.10283,-0.01019,0.0,0.87888,1.35398,0.0,0.84473,0.0,0.68759,0.43988,0.84261,0.17133,0.68417,0.0,0.39396,0.75335,0.34601,0.47449,0.18877,0.36555,0.54514,0.4949,0.86461,0.60634,0.11567,0.0,1.12374,2.07342,0.41408,0.0,0.0,0.0,0.0,0.0,0.67611,0.53641,0.0,4.25849,0.0,4.60213,0.36287,0.43707,12.71636,2.91471,2.49803,10.19777,15.92946,1.2756,0.0,8.51412,0.0,0.0,0.0,0.0,0.45043,1.04046,0.9443,0.0,0.0,0.0,0.31627,0.0,0.16114,2.08963,0.46016,0.0,0.0,24.86014,25.86532,0.10963,0.0,0.36626,0.48125,0.0,0.0,0.0,0.0,1.87052,0.13902,0.0,0.69834,0.78903,32.58736,0.0,1.28958,0.0,1.73695,0.0,1.53793,0.02504,1.40084,1.0235,0.0,1.1118,4.53533,1.42527,0.35643,0.0,0.0,0.0,1.44627,0.5095,16.41354,0.0,0.0,0.0,0.0,34.3261,1.10908,1.12737,0.95104,0.0,3.11558,0.0,0.0,0.0,0.0,2.59024,0.65103,4.81877,0.95123,1.49894,0.17286,1.44801,0.75637,0.0,2.06388,0.61287,0.0,0.0,3.10884,1.23837,0.87474,3.47434,7.02916,0.0,0.91441,0.17473,1.08639,1.42499,0.43947,0.58338,1.18553,0.0,0.06192,2.68939,5.86721,0.0,2.04526,0.0,0.0,0.18129,0.46998,0.0,1.23837,7.7657,0.49176,0.47336,2.73587,0.43158,1.07358,0.41679,2.73779,0.0,1.87405,0.0,10.68884,6.63982,0.0,0.5703,3.5904,0.61657,0.0,0.30429,3.10444,0.0,3.63373,0.0,1.21362,0.44271,0.40818,0.35874,1.32674,0.19971,0.48673,7.01192,0.79911,1.4044,7.95957,1.19523,0.28306,7.5088,0.0,0.0,0.21287,2.72752,0.0,0.0,0.1917,2.10463,1.7207,0.0,0.22784,0.0,1.05435,0.38309,0.0,2.52051,0.0,0.0
-4.25,0.0,0.14517,0.0,0.28178,7.38773,0.13786,0.05719,0.0,1.72637,0.49744,0.0,1.52662,0.0,0.0,7.77356,2.22599,0.0,0.10873,9.74409,0.11571,0.0057,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.10283,-0.01019,0.0,0.87888,1.49337,0.0,0.88822,0.0,0.76403,0.51998,0.89719,0.17133,0.83071,0.88937,0.42553,0.75335,0.50054,0.4651,1.261,0.36739,1.04114,0.32617,0.88957,0.60634,0.08652,0.65736,1.16501,2.25898,0.41408,1.22006,0.0,0.0,0.0,0.0,0.6702,0.55747,0.62588,4.25868,7.23747,4.60213,0.36287,1.16152,12.71636,2.9226,2.06757,6.16277,15.95172,1.04171,0.53888,8.51412,0.0,0.0,0.0,0.0,0.45043,1.04046,0.79145,0.0,0.28306,0.0,0.20129,3.13336,0.16114,2.08963,0.46016,0.0,0.0,24.86014,25.86532,0.62838,0.0,0.36626,2.64647,0.0,2.21991,0.0,0.8863,3.81974,0.13902,0.0,0.70864,0.98614,32.58736,0.0,1.28958,0.0,1.73695,0.0,1.50855,0.02504,1.4996,1.0235,0.0,1.1118,4.53533,0.81038,0.35643,0.0,0.0,0.0,1.27632,0.50819,16.41354,0.0,0.0,0.0,0.0,34.66934,1.10908,1.26006,0.93357,0.0,3.11822,11.59795,4.43594,10.06263,1.10256,3.10849,3.40069,4.25161,0.95123,1.49895,0.17286,0.96362,0.76302,0.0,1.98763,0.61287,0.0,0.0,1.83295,1.19165,0.86933,3.57013,4.89411,0.0,0.91441,0.72053,1.0396,1.14942,0.43947,0.58781,1.25743,4.98282,0.06192,2.6923,2.97585,0.30919,2.04526,0.27478,0.0,0.34264,0.46998,0.0,1.04587,8.0405,0.64091,1.80372,4.4049,0.42325,1.07475,0.9249,2.73779,1.26109,1.93645,0.0,11.02662,7.59247,4.31645,0.4388,2.58268,0.61657,0.26833,0.72914,7.97953,0.0,4.65666,0.0,1.33034,0.34848,0.32596,0.31428,0.80093,0.19971,0.90402,23.53956,1.16042,1.41775,7.9968,1.20191,0.28306,6.16244,0.0,0.0,0.23085,2.72752,0.0,5.77526,0.23039,2.27189,1.73259,0.0,0.24698,0.0,1.05435,0.34985,0.0,2.55388,0.0,0.0
-4.0,0.0,0.14517,0.0,0.28178,3.5897,0.13786,0.05719,0.0,1.72638,13.19551,0.0,1.52662,0.0,0.0,7.9303,2.2287,0.0,0.10873,4.97899,0.11571,0.0057,0.0,0.52519,0.0,0.0,0.00014,0.0,0.06187,0.10283,-0.01019,0.0,0.87888,1.52288,0.0,8.27811,0.1714,0.90796,0.43083,0.66081,0.43049,0.83326,0.74801,0.44921,0.71748,0.50054,2.20007,1.60447,0.36739,0.95236,0.32617,0.8922,0.41818,0.08652,0.67801,1.10751,2.3204,0.41408,1.22006,0.0,0.0,0.0,0.0,0.6702,1.27192,0.62588,3.58947,7.24312,3.09527,0.33219,3.3273,12.71636,3.23947,1.74569,17.42304,16.56935,1.04171,0.60718,5.90654,6.97792,0.0,6.84957,0.0,0.45043,1.04046,0.79925,0.0,0.60749,0.0,0.20129,3.13337,0.59138,2.08963,0.46016,1.20192,0.0,24.86014,15.92718,0.64898,0.0,1.79651,2.64647,3.73241,1.8016,0.0,0.8863,3.81975,0.13902,0.0,0.70864,0.98614,32.58736,22.84172,0.86685,0.0,1.73695,0.0,1.30951,0.02504,1.14815,1.33223,0.0,1.13413,3.81247,0.81038,0.83524,0.0,18.15284,10.60014,1.4223,0.46229,16.59802,0.0,0.0,0.0,19.73538,35.24737,1.10908,1.06601,1.21128,0.0,1.79566,12.76514,4.58972,11.94148,1.10256,2.88447,3.43624,4.25162,0.70856,1.64093,0.17286,0.99719,0.81923,0.0,1.74205,0.62017,0.0,0.0,1.86822,1.22786,0.76489,6.2195,4.42711,0.0,0.45996,1.399,1.10002,1.22354,1.10375,1.14517,4.651,5.02482,0.91543,2.79545,2.3759,0.30919,2.04526,0.42927,0.0,0.34264,0.43599,0.0,0.96894,8.20009,1.18613,4.53859,3.75871,0.42325,1.01598,1.18419,2.73779,1.69456,1.48101,0.84748,11.02662,5.98266,3.97743,1.6631,3.17013,0.47432,0.26833,0.93156,8.03689,0.0,3.10209,0.0,7.84281,0.49089,0.2395,0.35984,0.62363,0.89606,1.48057,23.53956,2.31157,1.41775,8.00731,1.55698,10.59494,7.40688,1.32434,0.0,0.24995,2.72752,0.0,3.76355,0.23108,2.3691,1.77102,0.0,0.24698,0.0,1.05436,0.44947,0.25527,1.12012,0.0,0.0
-3.75,0.0,0.2772,0.0,0.28178,3.05142,0.13786,0.04857,0.0,1.72638,13.19551,0.57399,1.52662,0.0,0.0,7.9303,1.8254,0.0,0.10873,4.55682,3.58528,0.0057,0.0,0.52519,0.0,0.0,12.60214,0.0,0.12823,0.08514,-0.00144,0.0,0.87888,1.69226,0.0,8.32115,6.77438,0.96447,0.33912,0.56288,0.30054,0.86268,0.78386,0.40048,0.78396,0.50054,1.78141,1.45911,8.38265,1.34515,0.50908,0.91493,0.41818,0.13475,0.67801,1.01554,1.72039,0.27792,1.24912,0.0,0.0,16.89412,2.53268,2.36806,1.07209,0.62588,3.64545,9.77118,3.09527,0.334,2.37122,8.49468,3.35803,1.74617,10.7904,16.56935,1.04171,6.40592,5.90654,7.11125,0.0,6.84957,0.0,0.45043,0.72838,2.23412,4.38204,0.60749,0.0,0.49406,3.19592,0.59138,2.08963,0.5267,1.20192,2.76963,24.86014,11.1668,0.64898,0.0,1.47675,1.92779,3.73241,1.8016,1.96276,0.8863,2.0725,2.89936,0.0,0.4013,1.24139,24.11942,22.84173,0.746,0.0,1.19813,0.0,1.36859,0.02504,1.05906,1.34832,0.0,1.37652,3.81247,0.77433,0.83524,0.0,18.51663,17.97915,1.26344,0.4803,16.71209,4.24072,0.0,0.0,32.31466,35.24737,2.6558,0.90159,1.34656,49.03773,2.30842,8.90801,4.71095,15.1841,0.96337,3.18646,3.09638,5.45803,0.70857,1.43672,0.17286,1.09439,0.85173,0.0,1.62138,0.62788,0.0,0.0,1.91536,1.19194,0.68826,6.21957,3.68485,18.99089,0.45996,0.82162,1.02341,1.24666,1.1124,1.23997,4.63023,5.02482,1.3092,3.07984,2.92698,0.64707,2.06379,1.11918,0.0,0.34264,0.436,0.0,0.7254,8.78978,1.06073,3.86481,3.81053,0.29117,1.036,1.18419,2.73779,1.87334,1.50564,1.24109,13.39844,6.22791,4.37502,1.41726,2.33647,0.50924,0.26833,0.68562,4.32398,0.0,2.70678,0.0,7.84281,0.48111,0.23735,0.39041,0.73223,0.89606,2.66508,23.53956,2.20725,1.67379,6.45539,1.55698,11.01622,7.42378,1.32434,0.0,0.27558,2.72752,0.0,3.82445,0.21778,2.21501,1.67377,0.45638,0.33416,0.11536,1.16754,0.41735,0.25527,1.40923,0.0,0.0
-3.5,0.0,1.61817,0.0,0.28178,2.49498,0.13786,0.06639,0.0732,2.39115,13.19551,0.57399,1.52662,0.0,31.71667,7.93554,1.55174,0.0,0.12062,4.76524,3.58528,0.0057,0.0,0.52519,0.0,4.4788,10.23348,0.0,0.09984,0.08514,0.04167,15.91145,0.83695,1.69227,0.0,9.41346,9.04298,0.93225,0.4115,0.75969,0.27808,1.16957,1.15273,0.70892,0.70745,1.00181,1.61323,1.31718,8.53755,1.27312,0.72036,1.00323,1.33605,0.13475,0.67801,1.15367,1.51819,0.50089,0.96413,0.0,0.0,9.24024,2.98803,2.40073,1.08244,2.12239,4.20602,7.59807,3.09527,0.27192,3.88187,9.46556,4.01139,1.81439,10.80705,11.06012,0.7055,5.53505,5.45974,7.17443,0.0,5.41347,0.0,0.45043,0.75568,2.03306,2.28752,0.60672,0.0,0.74048,3.19592,1.62924,8.88829,0.88908,0.67715,6.52683,32.9354,11.1668,0.4414,1.72696,1.38459,1.85432,5.40931,1.3085,24.03525,0.97839,6.43561,3.39888,0.0,0.34003,1.2331,16.11985,22.93077,0.56212,0.0,1.2894,0.0,1.21038,0.02504,1.15962,1.68553,0.0,1.56844,5.07162,0.77433,0.6498,0.67699,19.00103,24.01569,1.71014,0.80323,16.71209,6.82038,0.0,18.23952,34.01259,35.74805,3.33407,0.79186,1.50973,35.39435,2.23117,9.14727,4.02034,15.18416,1.04375,2.97441,2.26687,4.69487,0.84566,1.4587,1.55321,1.36088,0.94074,22.37028,1.60934,0.70256,0.0,12.23387,2.05885,1.01805,0.82438,5.49475,3.09471,18.99089,0.33261,0.71452,1.045,2.17678,1.04235,1.85922,4.63025,2.93767,1.30923,2.24404,2.27641,0.38461,2.00409,2.46419,3.45211,0.34264,0.436,10.25143,1.17676,8.98726,0.91272,2.78428,3.81375,0.86738,1.03682,1.03468,2.73779,1.4158,1.44384,1.1183,13.4697,6.09919,4.53516,1.54185,2.39105,0.50927,0.26833,0.81794,4.59615,0.0,2.73876,0.0,5.93733,0.52134,0.23735,0.62311,0.81796,1.22444,2.86142,23.53956,2.37171,1.53972,5.53648,1.3705,12.4738,5.71174,0.76225,0.0,0.3224,2.72752,0.54691,2.75419,0.51436,2.19423,1.64009,0.45639,0.45364,0.11536,0.88206,0.34862,4.43599,1.28169,0.0,9.32761
-3.25,2.68861,1.28016,5.39489,0.28178,2.89606,9.27296,0.05806,0.16599,1.63198,8.91921,0.60021,1.52662,3.06187,33.1389,7.93554,1.71869,6.89289,0.10469,8.3742,1.52892,0.0057,0.0,0.52519,0.0,4.4788,10.25057,0.0,0.09984,0.08514,0.04167,15.91145,0.83695,1.9275,0.41983,7.87303,10.17472,0.83574,0.51069,0.80156,0.33938,1.13051,2.65627,0.74373,0.97604,1.684,1.62474,1.20037,8.5669,1.19002,1.40434,1.20992,1.74029,0.11814,0.67802,1.19849,1.62358,2.93377,4.34148,0.0,7.54693,7.88222,4.94185,2.13839,1.24933,2.29702,4.15051,3.95749,2.72098,0.35069,3.07635,9.46556,3.37184,2.0799,8.61531,5.49945,0.70719,10.90851,5.45974,7.17443,0.0,6.69747,2.61214,0.49159,1.76259,2.30768,2.66095,0.54267,0.04766,1.62806,1.3397,2.72221,5.98402,0.90511,0.67715,6.7793,23.17209,10.01287,0.43232,1.72696,1.48605,1.39576,5.40931,3.39314,24.03525,13.17054,6.43561,4.25936,4.234,3.95362,1.2331,12.69441,14.94635,0.56213,2.56968,1.2894,0.20683,1.16894,19.63626,1.34186,1.91092,0.0,1.64452,5.41113,1.04977,0.73287,0.76377,16.05605,27.50721,1.58981,0.81735,10.38361,13.82437,29.25511,19.06065,34.48255,38.54457,3.77436,0.81411,1.37882,35.52342,1.84952,8.22819,3.44575,14.82182,1.37237,3.04698,1.35442,4.90895,0.7554,1.23627,1.46931,1.2574,0.95043,22.59575,1.48175,1.24268,17.77611,14.30654,1.87819,0.98261,0.76541,4.85014,2.53782,18.99089,4.86967,0.60284,1.13209,1.92551,1.04237,1.86709,3.8139,2.2176,1.21083,1.94578,2.264,0.46238,2.00017,2.23007,2.41874,0.629,0.33983,9.29648,1.48769,9.07607,1.17083,2.51409,2.84274,1.30744,1.75559,0.84199,2.13976,1.47657,1.39392,0.99348,16.64881,6.14971,3.51423,1.60896,2.4342,0.67273,1.23435,1.19247,4.54413,0.0,2.7913,0.00549,8.08919,0.53735,0.76199,0.4488,0.81863,1.44421,2.31633,17.7275,1.66187,1.93283,5.20941,1.87996,12.61663,5.18874,1.01329,0.88264,0.34338,2.72752,2.28936,3.26311,0.59894,2.04756,1.68228,1.68853,0.71874,0.77084,1.16676,0.33957,3.43077,0.95857,10.92679,9.32761
-3.0,2.05305,1.21614,2.15666,0.54634,2.68604,14.65209,0.05052,0.18989,1.26949,7.40767,2.8831,1.52662,3.64012,55.11108,4.16644,2.68806,6.89289,7.78535,8.81425,2.43218,0.0057,0.0,4.34785,0.0,3.48753,7.16561,0.0,12.74337,0.08514,2.04456,28.36237,7.44134,1.30261,1.38984,8.02799,11.5376,1.13187,0.44124,0.67057,0.62472,1.10807,5.44014,0.77656,1.01126,1.49564,1.8904,1.08939,8.66169,1.23038,1.226,1.07877,1.93139,2.28117,0.46308,1.11007,1.23662,3.44104,3.00702,0.0,7.87764,7.3722,4.71758,1.97667,3.445,5.80275,5.54411,3.35213,2.72098,1.91225,2.65338,14.96157,3.47022,1.78401,6.46331,5.2498,1.02355,10.50999,5.47724,24.46954,0.0,5.68224,6.78481,6.96597,2.84784,2.69121,2.66095,0.56465,12.18066,1.4955,1.63339,4.92114,10.42024,0.73133,0.45495,6.15925,14.24667,6.72748,3.42268,0.89301,1.23748,1.22631,5.69276,6.89823,18.04065,13.18474,4.94446,4.25936,4.24997,4.29816,1.55634,15.79682,11.33291,0.73592,4.66159,1.78045,1.74267,1.05765,6.78075,1.33373,1.74911,0.48694,1.33297,5.41113,1.0742,0.69359,1.0727,11.65161,24.7158,1.71178,0.80643,10.67835,10.32857,31.34313,22.32019,34.69306,60.66462,4.97968,0.84883,1.40911,35.52358,1.85937,10.10178,3.27723,15.51393,1.23682,3.53744,1.39394,4.78545,1.40084,1.32873,1.73231,1.13346,2.10735,17.38444,1.27372,1.06678,18.67977,14.5912,1.45047,0.84116,0.74414,4.06329,2.30995,18.99089,8.13446,0.62021,0.93284,1.57454,1.60757,1.78765,3.81393,2.40107,1.49352,1.88494,2.00747,0.67528,1.82058,1.75907,1.74608,0.59122,0.74575,14.00078,1.4754,10.68105,1.50637,2.17684,2.78573,1.47502,3.10353,1.04176,1.74734,1.26889,1.41045,1.27364,12.86813,6.44458,3.7877,1.87421,2.24103,0.71474,1.88637,1.59365,4.1328,6.73146,2.34441,4.34403,7.0197,1.09447,0.6172,0.53719,0.76921,1.33128,2.39539,17.76656,1.78624,1.65347,6.73475,1.88149,12.61663,3.49529,1.49262,1.37714,0.3157,6.23125,5.00921,2.84165,0.99387,2.02242,1.46217,4.60992,0.7895,0.84445,1.0137,0.40948,4.66446,1.02375,3.78892,6.89669
-2.75,1.25859,3.13756,2.41333,0.42014,2.40907,16.73092,1.22221,0.18989,0.73823,8.11943,2.28411,3.5643,5.71406,33.20919,6.05616,2.68806,10.71378,8.27049,8.81817,3.8347,6.01011,0.0,8.17549,7.6286,3.4912,6.518,8.74529,27.19929,3.87452,7.16948,28.36237,7.60423,1.16,2.60006,8.58428,10.80063,1.15849,0.57302,0.64822,0.68702,1.13609,9.6745,0.61176,0.9694,1.58044,2.28008,1.28758,8.74978,1.54266,1.02027,1.2795,2.19592,1.90264,5.37723,1.11982,1.26668,3.4057,6.67259,17.11071,2.33198,7.99135,4.76577,2.64018,3.24376,5.48493,6.06035,3.59272,2.72098,2.62906,2.47303,12.69941,4.29044,1.78956,6.18863,4.54731,1.10015,11.02302,12.09049,51.87563,0.0,7.03877,6.78481,3.54077,2.84126,2.18746,2.07578,1.02249,12.35601,1.46317,2.18661,4.68826,10.33414,0.73282,0.73424,6.68901,11.92622,6.14777,3.03073,8.60312,1.23419,1.00816,5.2116,5.92896,13.75298,10.03862,4.713,3.35159,4.24997,3.37157,1.54995,13.25923,10.05041,2.21804,3.68963,1.42962,4.67355,0.92301,5.06363,1.36909,1.76555,16.6883,1.10542,4.20966,0.96152,1.74713,1.15984,11.84196,27.56139,1.54872,0.78662,14.33597,10.77984,34.75758,22.50389,29.56184,61.55506,5.3004,1.74221,1.29385,48.16911,1.89675,10.73531,3.86219,12.04577,1.79042,2.87172,1.19583,4.34512,1.55611,1.05555,1.41005,1.11694,1.95515,18.34551,1.15784,1.44837,17.88006,14.66751,1.40078,0.9084,1.11575,3.78171,2.16306,18.99089,6.94277,0.62966,0.84432,1.43732,4.37616,1.79532,3.88432,2.3966,1.71067,2.22049,1.83068,1.02499,1.81933,1.83214,3.32075,0.69102,0.7386,11.4884,1.30934,4.73528,1.1764,2.60502,3.4777,2.2744,3.01606,1.64643,1.82713,0.97038,1.07739,1.05226,13.15891,6.40143,4.46693,1.8079,1.67092,1.44263,2.36968,1.77422,3.80779,5.35401,2.37105,4.20613,4.32465,1.07598,0.55788,0.69977,0.68441,1.34919,2.15946,22.23608,1.74748,1.5709,5.85004,1.6425,10.2539,3.15047,2.26761,1.67802,0.5119,6.23756,5.94826,3.12544,0.92236,1.85513,1.67537,3.82156,0.8675,1.40043,1.11458,0.57613,7.42448,1.14428,2.94076,6.89669
