,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.0851,0.0,0.13868,0.0,0.0832,0.0,0.07543,0.0,0.0,0.0,0.12181,0.0,0.09937,0.0,0.11237,0.0,0.0,0.25414,0.06082,0.0,0.0,0.0,0.0,0.13049,0.0,0.08974,0.0,0.0,0.26477,0.1667,0.24998,0.17334,0.12929,0.18294,1.10705,0.18259,0.21823,0.19801,0.27025,0.20042,0.13083,0.09626,0.13987,0.08825,0.11434,0.22734,0.14493,0.24062,0.12729,0.20184,0.097,0.16739,0.15469,0.09572,0.08417,0.36418,0.28816,0.0,0.08434,0.09936,0.06416,0.0,0.10133,0.13298,0.0,0.10579,0.0,0.0,0.0,0.34854,0.11954,0.10718,0.25953,0.0,0.10419,0.10134,0.0,0.0,0.10612,0.10763,0.18159,0.09634,0.0,0.09667,0.09062,0.11628,0.07786,0.0,0.06265,0.07296,0.15543,0.0,0.16866,0.1428,0.0,0.06606,0.14125,0.0,0.08217,0.0,0.0,0.0,0.17821,0.05236,0.18997,0.35051,0.09197,0.06953,0.06907,0.11167,0.0,0.11435,0.3596,0.15198,0.09227,0.11043,0.15344,0.25537,0.15195,0.06812,0.13684,0.14391,0.0,0.26873,1.64508,0.0,0.20015,0.0,3.02107,0.0,0.0,0.92096,1.08229,0.83292,0.22511,0.19288,0.0,1.37818,0.41887,0.65692,0.50924,0.191,0.24813,0.18805,0.14461,0.0,0.3061,0.3871,0.15572,0.14539,0.74128,0.1753,0.10877,1.1106,0.0,0.18953,0.14769,0.1438,0.09501,0.13226,0.08081,0.15802,0.10271,0.09847,0.25663,0.24959,0.21161,0.1483,0.14425,0.29793,0.10206,0.0,0.0,0.14252,0.14751,0.18811,0.14895,0.20692,0.34716,0.39608,0.15371,0.15511,0.13922,0.19177,0.13223,0.16744,0.09771,0.13117,0.18777,0.14958,0.13767,0.11112,0.52752,0.24167,0.12377,0.21402,0.13317,0.22537,0.11576,0.17961,0.0,0.11276,0.08882,0.13743,0.0,0.08907,0.0,0.12347,0.07923,0.0,0.05851,0.12383,0.10315,0.101,0.12792,0.0,0.08753,0.15687,0.08223,0.0,0.12426,0.0,0.0,0.0,0.28184,0.13712,0.11411,0.20241,0.29662,0.15229,0.18171,0.08889,0.0821,0.0,0.0
-4.75,0.0,0.0,0.0,0.07706,0.0,0.13868,0.0,0.08001,0.0,0.07543,0.0,0.0,0.0,0.12181,0.0,0.09937,0.0,0.10918,0.0,0.0,0.25414,0.06082,0.0,0.0,0.0,0.0,0.13049,0.0,0.08974,0.0,0.0,0.2238,0.1667,0.24998,0.16515,0.12929,0.18294,1.05041,0.17909,0.21823,0.1918,0.25092,0.18373,0.13083,0.09695,0.14069,0.08352,0.11491,0.226,0.1419,0.24062,0.12729,0.1633,0.0943,0.1637,0.14887,0.09432,0.08417,0.36418,0.28816,0.0,0.08434,0.09936,0.06416,0.0,0.0937,0.11469,0.05537,0.10419,0.0,0.0,0.0,0.34111,0.11697,0.10718,0.25557,0.0,0.09579,0.10348,0.0,0.0,0.09494,0.10107,0.14658,0.09634,0.06489,0.09773,0.09062,0.11628,0.07786,0.0,0.05941,0.06674,0.15543,0.0,0.16866,0.1428,0.0,0.06606,0.13507,0.0,0.08382,0.06139,0.04934,0.0,0.17821,0.05236,0.18997,0.31376,0.09197,0.06288,0.06907,0.11167,0.0,0.11146,0.34373,0.147,0.0876,0.11547,0.11484,0.23678,0.13559,0.06449,0.1347,0.13647,0.0,0.2613,1.56921,0.77232,0.19426,0.0,2.76624,0.0,0.0,0.89362,1.12406,0.83292,0.22326,0.18561,0.0,1.29908,0.40472,0.64239,0.4802,0.19203,0.23591,0.18805,0.14019,0.0,0.29165,0.30255,0.14153,0.14417,0.67541,0.16703,0.10877,1.06487,0.90436,0.1915,0.13896,0.13428,0.08665,0.12656,0.08081,0.15669,0.10841,0.09427,0.24332,0.24691,0.2115,0.14586,0.13765,0.22811,0.09473,0.0,0.08544,0.14252,0.1363,0.18811,0.14895,0.2163,0.32279,0.38707,0.14093,0.16089,0.13082,0.19177,0.12792,0.16251,0.09324,0.13117,0.1836,0.13975,0.14009,0.11112,0.50296,0.23657,0.12377,0.20358,0.12715,0.18652,0.10639,0.17961,0.0,0.11162,0.08882,0.13743,0.0,0.08575,0.0,0.11541,0.07868,0.0,0.05427,0.11762,0.10315,0.09772,0.12221,0.0,0.07761,0.13895,0.0742,0.0,0.12426,0.10056,0.12058,0.10641,0.25784,0.13172,0.11618,0.2018,0.27133,0.10681,0.18088,0.09747,0.0821,0.0,0.13215
-4.5,0.0,0.0,0.0,0.07386,0.0,0.13868,0.0,0.08001,0.0,0.07543,0.0,0.0,0.0,0.09419,0.0,0.09937,0.0,0.10918,0.0,0.0,0.25414,0.06082,0.07472,0.0,0.0,0.0,0.13049,0.0,0.08867,0.0,0.0,0.2238,0.16614,0.1616,0.16737,0.12929,0.18294,0.96324,0.17065,0.188,0.17362,0.23647,0.18078,0.11396,0.09508,0.1421,0.07484,0.10418,0.17965,0.13859,0.24062,0.12729,0.1633,0.0888,0.16106,0.14808,0.09071,0.08115,0.36418,0.28816,0.0,0.08434,0.08222,0.05748,0.06645,0.08767,0.10579,0.05723,0.09613,0.0,0.0,0.10521,0.3065,0.11446,0.10718,0.25557,0.0,0.09235,0.10241,0.0,0.0,0.08391,0.10107,0.14658,0.08846,0.06489,0.0987,0.09062,0.10356,0.07786,0.0,0.05961,0.06674,0.15543,0.0,0.16866,0.11267,0.0,0.06606,0.13182,0.0,0.08382,0.06648,0.05034,0.0,0.11502,0.05236,0.12367,0.31376,0.09197,0.06232,0.06907,0.11167,0.0,0.10046,0.3489,0.14157,0.08598,0.11342,0.11543,0.22521,0.13622,0.06449,0.12287,0.12438,0.10974,0.23764,1.46639,0.7519,0.18754,0.0,2.70597,0.0,0.0,0.82976,1.06726,0.72349,0.21403,0.17509,0.0,1.29908,0.3888,0.60459,0.47288,0.18069,0.23043,0.17507,0.13223,0.0,0.2859,0.25202,0.14389,0.14297,0.65171,0.16596,0.09729,1.04365,0.8568,0.17476,0.13435,0.11946,0.08665,0.11181,0.08165,0.13965,0.10398,0.08988,0.23894,0.22474,0.19985,0.14586,0.13482,0.22811,0.0935,0.1035,0.08132,0.11638,0.13084,0.17324,0.13753,0.20813,0.29691,0.37964,0.14031,0.15625,0.12543,0.19177,0.11036,0.15876,0.08973,0.13221,0.17096,0.13291,0.13263,0.10745,0.48117,0.21973,0.10904,0.20149,0.11791,0.1767,0.10676,0.1744,0.0,0.10644,0.07629,0.12191,0.0,0.08388,0.0,0.11364,0.07773,0.0,0.04911,0.11762,0.08834,0.09772,0.12195,0.0,0.08164,0.12843,0.06928,0.0,0.12857,0.10056,0.10962,0.10641,0.25111,0.13119,0.11205,0.2018,0.26899,0.1025,0.14584,0.09542,0.0788,0.0,0.13215
-4.25,0.0,0.0,0.06365,0.06806,0.0,0.11148,0.0,0.08001,0.0,0.06577,0.0,0.0,0.0,0.0958,0.0,0.08015,0.0,0.10918,0.10548,0.0,0.25414,0.06082,0.07472,0.05139,0.06036,0.0,0.10116,0.0,0.07474,0.0,0.0,0.2238,0.1558,0.15939,0.15828,0.12929,0.18294,0.91552,0.17065,0.188,0.17291,0.22727,0.17946,0.10432,0.09501,0.13801,0.07631,0.10249,0.17856,0.13471,0.24062,0.12729,0.1633,0.0888,0.15396,0.13324,0.08507,0.07638,0.12555,0.30107,0.0,0.0795,0.08222,0.06009,0.06645,0.08575,0.09776,0.05432,0.09613,0.0,0.06656,0.10521,0.29767,0.10974,0.1183,0.22143,0.05586,0.08684,0.10134,0.0,0.05773,0.08391,0.10107,0.12139,0.08204,0.06544,0.08859,0.09062,0.10356,0.07786,0.0,0.05961,0.06674,0.15543,0.05691,0.16866,0.08753,0.08417,0.06606,0.11837,0.0,0.0711,0.06648,0.04791,0.0,0.11502,0.05236,0.10915,0.31376,0.09197,0.06232,0.06907,0.0857,0.0,0.09466,0.33924,0.14477,0.085,0.11312,0.11406,0.22072,0.11142,0.06449,0.12187,0.12265,0.09977,0.22999,1.39039,0.71915,0.18064,0.0,2.53493,0.0,1.2389,0.7581,1.05098,0.68522,0.20763,0.17038,0.0,1.2164,0.3624,0.56569,0.43262,0.17198,0.22102,0.14512,0.12322,0.0,0.26521,0.22353,0.13802,0.13974,0.63636,0.15014,0.09257,1.01786,0.81714,0.16579,0.12515,0.12009,0.08539,0.11078,0.07686,0.11766,0.10398,0.08764,0.21243,0.20394,0.18859,0.13835,0.12497,0.15444,0.09202,0.09933,0.08081,0.10535,0.13084,0.17324,0.12376,0.19571,0.29442,0.35816,0.13499,0.15044,0.11783,0.19177,0.10606,0.13824,0.08758,0.10796,0.16719,0.11688,0.13348,0.10164,0.44786,0.21232,0.11778,0.21007,0.11425,0.14933,0.10104,0.1744,0.0,0.10709,0.07287,0.09468,0.0,0.08298,0.08309,0.09812,0.07751,0.0,0.05157,0.11554,0.08198,0.09116,0.11648,0.10849,0.07692,0.12601,0.06826,0.0,0.12831,0.10056,0.10962,0.10641,0.24168,0.13015,0.11205,0.19288,0.25774,0.09972,0.12395,0.09542,0.07789,0.0,0.13215
-4.0,0.08109,0.0,0.06365,0.06976,0.0,0.13069,0.05822,0.08001,0.0,0.06577,0.0,0.05707,0.10108,0.07779,0.0,0.08015,0.0,0.07827,0.10548,0.0,0.25414,0.07024,0.07472,0.05139,0.05573,0.0,0.08668,0.0,0.0714,0.05609,0.0,0.2238,0.13542,0.12648,0.15692,0.12929,0.14651,0.88571,0.16726,0.188,0.1631,0.21529,0.16171,0.10144,0.09299,0.13554,0.07743,0.09837,0.17918,0.12422,0.24062,0.12729,0.1633,0.08274,0.13597,0.12952,0.08225,0.07514,0.12555,0.30107,0.0,0.07195,0.07263,0.05567,0.06688,0.0882,0.09776,0.05316,0.09291,0.08261,0.06854,0.09368,0.28655,0.10718,0.10271,0.22143,0.06284,0.08216,0.09707,0.0,0.05177,0.07745,0.10107,0.11768,0.08204,0.06968,0.08096,0.09062,0.10356,0.07786,0.0,0.05932,0.06674,0.15543,0.0551,0.16866,0.08318,0.08255,0.05546,0.11265,0.0,0.06628,0.06648,0.04731,0.05488,0.11283,0.05236,0.09374,0.31376,0.06052,0.06232,0.06027,0.0857,0.05532,0.08485,0.28328,0.14391,0.08403,0.11394,0.1032,0.22055,0.10403,0.05259,0.1149,0.12036,0.09977,0.20718,1.29028,0.68283,0.17092,0.0,2.37245,2.85107,1.18307,0.74612,0.87893,0.65336,0.2035,0.15887,0.0,1.30904,0.34823,0.54166,0.41298,0.17011,0.21142,0.13424,0.1164,0.86439,0.25474,0.20749,0.13196,0.13296,0.58165,0.14403,0.09236,0.99102,0.76475,0.16209,0.12098,0.11208,0.08266,0.09629,0.07757,0.1119,0.08785,0.08286,0.20035,0.19944,0.17756,0.1299,0.11675,0.15444,0.08808,0.09184,0.07821,0.09172,0.11988,0.17324,0.10586,0.18664,0.28116,0.33694,0.13336,0.13818,0.11503,0.19177,0.10661,0.13517,0.08509,0.10373,0.15187,0.11253,0.12972,0.08926,0.43116,0.20304,0.10762,0.18392,0.11141,0.13714,0.09516,0.16513,0.0,0.10126,0.07163,0.09468,0.11307,0.07984,0.08309,0.08769,0.06961,0.09875,0.04988,0.11093,0.07462,0.08306,0.10741,0.08124,0.07077,0.12601,0.06653,0.0,0.12747,0.09643,0.10962,0.10641,0.2312,0.13978,0.11205,0.17699,0.23231,0.09778,0.11258,0.09421,0.07457,0.09871,0.11858
-3.75,0.08109,0.04796,0.06093,0.07609,0.07965,0.09412,0.05341,0.06653,0.05588,0.06577,0.04131,0.05383,0.10108,0.0765,0.0,0.08015,0.0,0.07764,0.10548,0.0,0.15616,0.06612,0.06757,0.05502,0.05573,0.0,0.08668,0.0,0.0714,0.05127,0.0,0.21684,0.12492,0.1142,0.15869,0.12929,0.11828,0.85777,0.15971,0.16621,0.15407,0.19857,0.15206,0.09241,0.08829,0.13115,0.0751,0.09552,0.17918,0.12087,0.24062,0.07741,0.1081,0.07869,0.12049,0.12189,0.0795,0.07566,0.12555,0.30107,0.0,0.07202,0.0641,0.05567,0.06401,0.08333,0.09575,0.05137,0.07998,0.08593,0.06681,0.0981,0.2752,0.09752,0.08745,0.20836,0.05842,0.07682,0.09707,0.0,0.05095,0.07561,0.10107,0.11562,0.07239,0.06968,0.07758,0.05818,0.10356,0.07786,0.0,0.06276,0.05561,0.10344,0.05213,0.16866,0.07839,0.08255,0.05167,0.10625,0.13049,0.06258,0.06217,0.04808,0.04516,0.11174,0.04433,0.09374,0.29163,0.05438,0.05871,0.05857,0.08219,0.05318,0.08119,0.26726,0.12663,0.07972,0.10422,0.10329,0.20643,0.09032,0.05223,0.10509,0.11441,0.08925,0.19806,1.28521,0.65031,0.162,0.80396,2.21767,2.80475,1.13235,0.69635,0.85498,0.60926,0.19277,0.15763,0.0,1.30904,0.33969,0.50983,0.4012,0.17011,0.20173,0.12766,0.11239,0.84555,0.24056,0.18528,0.12491,0.12106,0.55164,0.13711,0.09459,0.88286,0.73255,0.16002,0.11476,0.10591,0.07854,0.08289,0.07278,0.1119,0.08558,0.07917,0.19107,0.187,0.16609,0.11917,0.1086,0.1434,0.08503,0.092,0.07751,0.08363,0.09718,0.17324,0.10327,0.18222,0.25852,0.31674,0.13137,0.12956,0.10815,0.19177,0.10774,0.12739,0.08244,0.09964,0.14749,0.10764,0.12002,0.08545,0.40897,0.19487,0.10526,0.17888,0.10789,0.12692,0.09208,0.15093,0.0,0.09542,0.07162,0.08682,0.09716,0.07423,0.07571,0.08219,0.06459,0.07845,0.04828,0.10954,0.07256,0.08182,0.10235,0.07533,0.06846,0.1176,0.06056,0.0,0.11387,0.09643,0.10962,0.09897,0.21918,0.13983,0.10497,0.17327,0.22035,0.09688,0.1016,0.07861,0.06903,0.08341,0.11858
-3.5,0.08109,0.04796,0.05607,0.07373,0.11733,0.07723,0.05021,0.06653,0.04971,0.06577,0.04936,0.06255,0.10108,0.07497,0.05209,0.07107,0.0,0.07197,0.10306,0.0,0.15616,0.06033,0.05859,0.05502,0.05573,0.0,0.06514,0.0,0.06841,0.04985,0.0,0.21789,0.12073,0.11302,0.15451,0.12929,0.10387,0.84693,0.15035,0.15219,0.14804,0.19214,0.14637,0.09096,0.08176,0.12391,0.07154,0.09654,0.14294,0.11268,0.24062,0.07419,0.10209,0.07002,0.1141,0.11454,0.07278,0.07196,0.12555,0.30107,0.0,0.07239,0.05884,0.05074,0.05857,0.07772,0.08201,0.05221,0.06786,0.07722,0.06025,0.09265,0.26775,0.09481,0.08214,0.20836,0.05169,0.07059,0.09707,0.04721,0.05095,0.08749,0.09025,0.10003,0.07079,0.06019,0.07401,0.05557,0.10356,0.06754,0.06071,0.06166,0.05045,0.072,0.05193,0.16866,0.07428,0.07634,0.05179,0.09728,0.13066,0.06338,0.05912,0.04916,0.04349,0.09527,0.04672,0.09292,0.24206,0.04894,0.05373,0.04797,0.07148,0.0496,0.07648,0.25108,0.1261,0.07525,0.10419,0.09816,0.20175,0.08128,0.04946,0.09682,0.10438,0.08187,0.16972,1.17284,0.61025,0.15573,0.75391,2.02753,2.5784,1.06856,0.65465,0.81741,0.57902,0.18144,0.14505,1.25836,1.30904,0.32146,0.488,0.36438,0.13537,0.19463,0.12048,0.11133,0.76539,0.22515,0.18155,0.11737,0.10169,0.5093,0.13171,0.09235,0.79558,0.6732,0.14545,0.11309,0.09972,0.0759,0.07838,0.06875,0.10842,0.08558,0.07532,0.18022,0.17778,0.15578,0.1105,0.09924,0.13712,0.08015,0.08137,0.0704,0.07703,0.0932,0.15446,0.0965,0.1741,0.25172,0.29846,0.12538,0.12376,0.09809,0.19177,0.1007,0.12386,0.07582,0.094,0.13765,0.10527,0.11637,0.08172,0.38699,0.19024,0.09719,0.15653,0.10618,0.12056,0.0894,0.14314,0.0,0.09076,0.06833,0.08359,0.08725,0.06879,0.07522,0.07816,0.05864,0.06705,0.04621,0.10954,0.06909,0.07737,0.09898,0.05994,0.06555,0.10166,0.05451,0.0,0.10292,0.088,0.09357,0.09132,0.19926,0.12618,0.0957,0.1523,0.21211,0.09081,0.09706,0.07453,0.06665,0.08506,0.0991
-3.25,0.07163,0.04721,0.05394,0.06758,0.11733,0.06132,0.05021,0.05554,0.04558,0.04931,0.04913,0.06255,0.10108,0.07168,0.05753,0.06946,0.05203,0.06483,0.09239,0.0,0.15296,0.05402,0.05808,0.04902,0.05257,0.05111,0.05868,0.0,0.06585,0.04985,0.0,0.21789,0.11643,0.10607,0.15124,0.12929,0.09775,0.7835,0.12929,0.13387,0.13953,0.18163,0.13301,0.0809,0.07586,0.11678,0.06788,0.09036,0.12546,0.10405,0.24062,0.06483,0.09757,0.06568,0.11443,0.10585,0.06632,0.06599,0.10191,0.30107,0.09393,0.06966,0.05539,0.04599,0.06058,0.06774,0.07301,0.04817,0.06786,0.07122,0.05748,0.08269,0.25045,0.09187,0.07688,0.28701,0.04896,0.0721,0.08283,0.04473,0.04722,0.08474,0.0724,0.08483,0.05934,0.05971,0.0785,0.05107,0.10356,0.06008,0.05307,0.05152,0.04409,0.06675,0.04515,0.09442,0.07022,0.07062,0.04836,0.0923,0.13066,0.05469,0.05997,0.04859,0.04389,0.09271,0.0444,0.06555,0.24206,0.04568,0.0513,0.04759,0.06731,0.04695,0.07258,0.24367,0.11727,0.06776,0.09829,0.09036,0.19719,0.07764,0.04647,0.08976,0.09758,0.08006,0.15705,1.12832,0.55535,0.14701,0.71704,1.96066,2.40979,1.01364,0.61072,0.73443,0.53846,0.16983,0.1401,1.11212,0.98031,0.28921,0.46617,0.34309,0.13318,0.18564,0.10948,0.1034,0.73238,0.20683,0.15238,0.10829,0.09823,0.48358,0.12396,0.08309,0.75425,0.62629,0.13632,0.10636,0.0977,0.07171,0.07561,0.06631,0.09906,0.07543,0.07132,0.17146,0.1685,0.14531,0.10305,0.09364,0.14152,0.07561,0.08277,0.06787,0.07337,0.08444,0.12923,0.08929,0.15503,0.23446,0.27669,0.12064,0.11495,0.09161,0.16357,0.09846,0.11787,0.0713,0.09082,0.1233,0.10046,0.10807,0.08267,0.36422,0.17796,0.09262,0.14707,0.09153,0.10901,0.08557,0.13258,0.09554,0.08497,0.06371,0.07895,0.08528,0.06445,0.06959,0.07242,0.05631,0.06452,0.04388,0.09496,0.06761,0.07189,0.09308,0.06094,0.06303,0.09387,0.0534,0.0,0.09646,0.0831,0.09254,0.08994,0.19235,0.1121,0.08897,0.13712,0.19234,0.09131,0.08299,0.07231,0.06567,0.07364,0.09307
-3.0,0.07076,0.04904,0.05024,0.06047,0.11733,0.05815,0.05352,0.05473,0.05373,0.04969,0.04295,0.05628,0.06641,0.06041,0.05275,0.06946,0.05415,0.05948,0.08351,0.0,0.08007,0.0522,0.05672,0.04322,0.04963,0.05361,0.05582,0.0,0.06471,0.0438,0.05752,0.19675,0.1015,0.09775,0.14458,0.12929,0.08928,0.70605,0.12589,0.12778,0.13031,0.17111,0.1228,0.07477,0.06952,0.10878,0.06431,0.08223,0.11605,0.09805,0.13573,0.06154,0.08965,0.0614,0.1091,0.10231,0.06288,0.06296,0.08419,0.30107,0.09601,0.06554,0.05329,0.04317,0.05392,0.05557,0.06686,0.0467,0.06565,0.06896,0.06285,0.07607,0.22474,0.08675,0.07281,0.28573,0.04569,0.06513,0.07046,0.04473,0.04425,0.08039,0.06442,0.08094,0.05665,0.05555,0.0746,0.04754,0.10356,0.05214,0.05253,0.04679,0.04164,0.06022,0.04301,0.0845,0.06412,0.06328,0.04682,0.08345,0.11374,0.04953,0.05549,0.04259,0.0401,0.09271,0.04008,0.05858,0.22492,0.04279,0.0476,0.04276,0.055,0.04662,0.06893,0.2306,0.10218,0.06466,0.08771,0.08765,0.18063,0.07242,0.04269,0.08943,0.0914,0.07432,0.14474,1.08051,0.52147,0.13961,0.66679,1.75782,2.23849,0.92965,0.56597,0.69131,0.49786,0.16234,0.13062,1.07177,0.86708,0.27336,0.41921,0.31852,0.12284,0.17608,0.1009,0.09556,0.70518,0.19608,0.13303,0.10158,0.08876,0.44425,0.11604,0.07912,0.69948,0.58474,0.12331,0.10097,0.09451,0.06722,0.06896,0.06349,0.08705,0.06712,0.06596,0.16461,0.16275,0.13628,0.09806,0.08785,0.11582,0.0721,0.07526,0.06354,0.06853,0.08009,0.10631,0.08306,0.1529,0.21682,0.26203,0.11062,0.10761,0.08751,0.13945,0.09361,0.11077,0.06785,0.08237,0.11424,0.09773,0.10198,0.07547,0.33638,0.16592,0.08681,0.13063,0.08919,0.09977,0.07878,0.1232,0.10497,0.08073,0.05779,0.07655,0.0745,0.06098,0.0654,0.0687,0.05307,0.06008,0.04158,0.09186,0.06113,0.06727,0.0867,0.05654,0.05838,0.07493,0.05223,0.06617,0.09054,0.07811,0.08573,0.09901,0.17686,0.09805,0.08274,0.1196,0.18413,0.08433,0.07704,0.06756,0.05914,0.07165,0.07963
-2.75,0.06317,0.04234,0.05023,0.05454,0.11733,0.05426,0.04432,0.05074,0.04696,0.04733,0.03779,0.05056,0.05782,0.05397,0.05261,0.07052,0.05058,0.06442,0.08326,0.09489,0.06687,0.04827,0.04831,0.04178,0.04819,0.05361,0.04663,0.07063,0.06196,0.04125,0.05486,0.16865,0.09513,0.0818,0.13448,0.07309,0.08313,0.6254,0.11367,0.12476,0.1203,0.16007,0.11966,0.07046,0.06559,0.10344,0.06265,0.07406,0.09815,0.09135,0.10431,0.05919,0.08309,0.05759,0.09443,0.09494,0.0594,0.05708,0.08239,0.15218,0.085,0.05986,0.04848,0.0406,0.05116,0.05299,0.06227,0.04224,0.06168,0.06221,0.06061,0.07605,0.2146,0.08125,0.06513,0.2229,0.04266,0.06054,0.06525,0.04215,0.03962,0.07046,0.05844,0.07726,0.05193,0.05156,0.06638,0.04399,0.06665,0.04353,0.05034,0.04338,0.04129,0.05164,0.04263,0.07059,0.06063,0.06078,0.04402,0.07709,0.11374,0.04516,0.05564,0.03969,0.03789,0.07768,0.03605,0.05267,0.20917,0.0394,0.04478,0.04141,0.05103,0.0436,0.06354,0.21666,0.09285,0.06006,0.08079,0.08094,0.15624,0.06427,0.04052,0.08198,0.08629,0.07306,0.13954,0.93083,0.4811,0.13283,0.60656,1.6363,2.05443,0.86508,0.52034,0.65046,0.46533,0.15202,0.12378,0.98487,0.81412,0.25863,0.39165,0.31071,0.11255,0.16224,0.09434,0.08963,0.6593,0.18646,0.12189,0.09325,0.08061,0.40806,0.10765,0.07739,0.63659,0.53521,0.11544,0.09771,0.0868,0.06254,0.06534,0.06002,0.0776,0.06493,0.06352,0.15214,0.15272,0.13056,0.08923,0.08186,0.1068,0.06642,0.06831,0.06002,0.05888,0.07298,0.08858,0.07667,0.14056,0.20062,0.24576,0.10075,0.09683,0.08255,0.12194,0.08623,0.10575,0.0643,0.07688,0.10449,0.09075,0.09403,0.07169,0.31739,0.15453,0.08025,0.12414,0.08417,0.09389,0.07579,0.11266,0.0863,0.07503,0.05435,0.07594,0.07025,0.05689,0.06336,0.06343,0.05157,0.05651,0.04,0.09161,0.05667,0.06177,0.08189,0.05484,0.05219,0.07241,0.0498,0.06475,0.07929,0.07549,0.08748,0.08146,0.16638,0.09191,0.07452,0.10564,0.18052,0.07951,0.06858,0.06814,0.05666,0.07152,0.07549
